,index,x,y,docks_num,centrality,centrali_1,AD
109.0,"Stonecutter Street, Holborn",531565.810325755,181357.582457654,21,0.063723051140161,0.114570361145704,0.009526695214131634
110.0,"Gloucester Road (Central), South Kensington",526208.057603471,179059.90235081,19,0.009640168719086,0.075965130759651,0.004214492658761001
111.0,"Park Road (Baker Street), The Regent's Park",527812.051618423,182222.423988968,22,0.020047377893988,0.114570361145704,0.003285483128854791
112.0,"Braham Street, Aldgate",533768.22887435,181235.555967826,34,0.069741341005201,0.215442092154421,0.006536498293988424
113.0,"Little Argyll Street, West End",529064.106893529,181140.342528775,21,0.066382312378001,0.165628891656289,0.004292504533381531
114.0,"Lollard Street, Vauxhall",530962.875472784,178790.225615963,25,0.015004619989795,0.095890410958904,0.004606964006175036
115.0,"Rochester Row, Westminster",529533.524318788,179076.004986194,13,0.02421189179542,0.079701120797011,0.003562658906762541
116.0,"Bath Street, St. Luke's",532534.12183598,182501.795353738,18,0.058337853136072,0.160647571606476,0.005266479233838654
117.0,"The Guildhall, Guildhall",532410.381985329,181368.905615252,17,0.055050657401931,0.107098381070984,0.004607420547744286
118.0,"Baker Street, Marylebone",528030.809891869,181611.603013952,22,0.056016977521434,0.154420921544209,0.005613417198403659
119.0,"Norton Folgate, Liverpool Street",533388.438670958,181991.331568152,23,0.074638257458124,0.151930261519303,0.008166042014002388
120.0,"St. John Street, Finsbury",531568.801374713,182751.894993942,18,0.013363099178784,0.068493150684932,0.004275431484255747
121.0,"Eaton Square, Belgravia",528449.674277263,179127.573660256,20,0.029726461899689,0.085927770859278,0.003189949432560396
122.0,"Borough High Street, The Borough",532359.756657119,179698.732562653,21,0.038656121630283,0.112079701120797,0.004912284969822747
123.0,"Museum of London, Barbican",532164.557665897,181590.06017278697,52,0.098560493292228,0.183063511830635,0.013170214304811686
124.0,"Wood Street, Guildhall",532348.969931508,181510.109467925,17,0.053444503284914,0.108343711083437,0.004915681784925604
125.0,"Emperor's Gate, South Kensington",526073.609123984,178945.523342914,22,0.011502155136544,0.088418430884184,0.004298937486679083
126.0,"Golden Square, Soho",529377.566884403,180866.738108507,18,0.054942468943058,0.12079701120797,0.004202716692022556
127.0,"Tower Gardens , Tower",533653.019851901,180708.127551478,24,0.046001950593758,0.183063511830635,0.0034006606276879795
128.0,"Eversholt Street , Camden Town",529322.459256907,183205.371427034,16,0.005505151888256,0.066002490660025,0.002232546395495931
129.0,"Bethnal Green Road, Shoreditch",533658.456516078,182289.773151085,38,0.050162373672665,0.165628891656289,0.00715391521106453
130.0,"Derry Street, Kensington",525629.105969466,179599.645377958,18,0.043185574891872,0.176836861768369,0.0038493171606507363
131.0,"Wapping High Street, Wapping",534182.416970619,180204.772692291,20,0.005391987146063,0.041095890410959,0.002777280295636112
132.0,"Clerkenwell Green, Clerkenwell",531586.975341092,182185.922407356,21,0.054385378995538,0.13947696139477,0.004332577161202359
133.0,"Queen Victoria Street, St. Paul's",532120.548487368,180942.791268588,32,0.077668367541944,0.158156911581569,0.00818937758525926
134.0,"Green Street, Mayfair",527959.224811736,180862.545134059,19,0.027649194736878,0.100871731008717,0.0036767598259036458
135.0,"Lambeth Road, Vauxhall",530742.306914434,179013.148455926,18,0.055077396956045,0.12453300124533,0.003365863031099366
136.0,"Finsbury Square , Moorgate",532908.972569403,181964.165553054,33,0.062061755896848,0.148194271481943,0.013733500640435667
137.0,"Chapel Place, Marylebone",528659.771725151,181220.543516726,29,0.055123198836042,0.119551681195517,0.010705559670925319
138.0,"West Cromwell Road, Earl's Court",525175.536920423,178729.498842133,24,0.010108979324559,0.072229140722291,0.00312468603647897
139.0,"Pont Street, Knightsbridge",527736.79185673,179160.016496554,24,0.048268970702595,0.127023661270237,0.0035781388568757277
140.0,"Kennington Cross, Kennington",531215.415095632,178351.787476919,47,0.0233356912918,0.164383561643836,0.009517509573713199
141.0,"Ilchester Place, Kensington",524840.514824002,179508.137874396,24,0.00354522691099,0.031133250311333,0.0034330134934435364
142.0,"Vauxhall Bridge , Pimlico",529974.60049757,178263.160331475,35,0.011438192324436,0.047322540473225,0.005163619935685744
143.0,"Tachbrook Street, Victoria",529336.434255922,178660.549064403,16,0.02896717882072,0.104607721046077,0.00435235808497165
144.0,"Kennington Road Post Office, Oval",531275.198416061,177901.737362441,18,0.010365393967329,0.102117061021171,0.002106710286182471
145.0,"Holy Trinity Brompton, Knightsbridge",527201.772608756,179157.080974801,28,0.026975129906957,0.104607721046077,0.004545435249802087
146.0,"Chepstow Villas, Notting Hill",524893.141065327,180778.755336532,26,0.010125815828916,0.075965130759651,0.0034868669200466273
147.0,"Hampton Street, Walworth",531892.485071298,178731.555965076,21,0.015831915759346,0.13200498132005,0.0034931542123183626
148.0,"Bayswater Road, Hyde Park",526778.557477717,180803.537200594,27,0.020625298188866,0.14321295143213,0.0033098961843489086
149.0,"Waterloo Station 3, Waterloo",531076.324308439,180004.177484321,35,0.030427638005478,0.37359900373599,0.036004197018593975
150.0,"Lexham Gardens, Kensington",525607.817295559,178989.78691151,19,0.015249125268672,0.110834371108344,0.006704007230810984
151.0,"New Kent Road, The Borough",532494.541349124,179000.066448205,33,0.017393141453609,0.059775840597758,0.005277079986696877
152.0,"Wright's Lane, Kensington",525515.548208144,179489.733734857,37,0.030875876959832,0.155666251556663,0.008552785473718827
153.0,"Trebovir Road, Earl's Court",525325.49944702,178422.962701696,18,0.008527703517722,0.094645080946451,0.0023119156163656568
154.0,"Waterloo Place, St. James's",529748.027263416,180284.65078785896,20,0.054648014985413,0.10958904109589,0.005113295009214019
155.0,"Guildhouse Street, Victoria",529127.041011246,178679.135890343,16,0.011599067001668,0.051058530510585,0.0041765361466764425
156.0,"Southampton Place, Holborn",530444.150968258,181524.383935434,20,0.060840512565329,0.107098381070984,0.0067303882973714915
157.0,"Sloane Avenue, Knightsbridge",527281.404219182,178723.654296123,27,0.02836078907828,0.13200498132005,0.004826661769118841
158.0,"Cleveland Gardens, Bayswater",526170.658134689,181191.05713938497,16,0.008747393228409,0.090909090909091,0.002884550216954815
159.0,"Orsett Terrace, Bayswater",526119.297155308,181449.732640566,15,0.003219553018215,0.032378580323786,0.0037994302096835534
160.0,"Seville Street, Knightsbridge",527856.932106844,179706.961270305,27,0.036116624849888,0.085927770859278,0.005947916431011998
161.0,"Eccleston Place, Victoria",528687.632667502,178849.904197908,19,0.06143693283071,0.24159402241594,0.0037734006096039044
162.0,"Argyll Road, Kensington",525346.812294866,179480.924504371,19,0.004245296798877,0.044831880448319,0.004258603859718465
163.0,"Porchester Place, Paddington",527417.299374602,181134.492848861,18,0.020751900057699,0.13574097135741,0.0030913695732596542
164.0,"Hardwick Street, Clerkenwell",531338.702168376,182683.97061133097,30,0.002583483628826,0.028642590286426,0.007522693013297776
165.0,"Collingham Gardens, Earl's Court",525975.871055561,178519.826425312,14,0.010938524676193,0.095890410958904,0.0020855357265235604
166.0,"Sumner Place, South Kensington",526888.163545888,178500.967414965,19,0.023055819767011,0.107098381070984,0.0032224227500702277
167.0,"Waterloo Road, South Bank",531061.255345783,180123.732792477,15,0.018197153512755,0.114570361145704,0.011424701978009242
168.0,"Strand, Strand",530893.773773035,180985.685326908,35,0.070872334209941,0.145703611457036,0.012016607622582508
169.0,"Worship Street, Shoreditch",533328.907796928,182049.543998353,51,0.087761833859289,0.180572851805729,0.017895139863729183
170.0,"Gloucester Terrace, Bayswater",525815.972173018,181440.42623335,23,0.003035654113385,0.088418430884184,0.003254972286896207
171.0,"Ashley Place, Victoria",529145.924059783,179108.814626037,25,0.076996997544629,0.226650062266501,0.006842001866743664
172.0,"Warwick Square, Pimlico",529099.685476348,178408.789725275,19,0.018995789280846,0.110834371108344,0.003797709502978192
173.0,"North Audley Street, Mayfair",528217.714708174,180948.16034871896,17,0.031273829202565,0.089663760896638,0.0036455328518028205
174.0,"Belgrave Square, Belgravia",528354.116008535,179451.275338553,21,0.039524442178704,0.082191780821918,0.0035469145414603843
175.0,"Bell Street , Marylebone",527347.766529556,181936.991127386,18,0.019452175455351,0.13200498132005,0.0033200435959949365
176.0,"Riverlight North, Nine Elms",529522.159132518,177578.33191762,24,0.020906598669661,0.130759651307597,0.0031195037336177412
177.0,"Portland Place, Marylebone",528787.02668496,181831.514907944,34,0.02559988035233,0.112079701120797,0.006682876965893546
178.0,"Alderney Street, Pimlico",529183.198416384,178205.485596225,14,0.015012759361627,0.129514321295143,0.0023325609927917724
179.0,"South Wharf Road, Paddington",526664.633541293,181403.820308846,16,0.02853786041263,0.144458281444583,0.0031091360446237073
180.0,"Queen's Gate (South), South Kensington",526559.002243229,178632.627494549,25,0.009386486850984,0.079701120797011,0.005041757399747623
181.0,"Nutford Place, Marylebone",527460.486927958,181331.291421897,18,0.018550141534014,0.069738480697385,0.005527740236465699
182.0,"Claremont Square, Angel",531202.069068396,183110.957590196,18,0.005716676743151,0.057285180572852,0.003565693946221888
183.0,"Rampayne Street, Pimlico",529723.308905381,178436.145001294,21,0.023258014876389,0.12079701120797,0.0038299341389561076
184.0,"Hyde Park Corner, Hyde Park",528253.5404670868,179860.525259688,36,0.038505544782102,0.159402241594022,0.008645430850880417
185.0,"Wardour Street, Soho",529636.432207768,180937.78457732496,16,0.044421502444794,0.10958904109589,0.004375894406276623
186.0,"Bankside Mix, Bankside",531943.749460692,180257.006891544,60,0.062759956472017,0.13947696139477,0.02120137808882784
187.0,"Hop Exchange, The Borough",532534.555103748,180143.192025156,56,0.114864882460144,0.310087173100872,0.011156393089035443
188.0,"Milroy Walk, South Bank",531524.092407202,180391.850878413,30,0.044131410592827,0.129514321295143,0.009755164456381813
189.0,"Union Street, The Borough",532069.658287602,180024.714859238,17,0.040019062173779,0.10958904109589,0.004528874859347859
190.0,"Stamford Street, South Bank",531153.286373143,180209.500398367,27,0.037728993051782,0.159402241594022,0.010797427353400139
191.0,"Great Tower Street, Monument",533126.373362202,180800.83775828,24,0.097681797035936,0.312577833125778,0.005014187800766021
192.0,"LMU Commercial Road, Whitechapel",534287.444649973,181316.894892878,14,0.016185702532218,0.105853051058531,0.0019475697204916625
193.0,"Dorset Square, Marylebone",527674.0590039712,182007.070686502,16,0.039282947601844,0.236612702366127,0.0050624932179282696
194.0,"Leman Street, Aldgate",534060.290791135,181039.61063384,37,0.029351299601616,0.145703611457036,0.005494179602454663
195.0,"West Smithfield Rotunda, Farringdon",531868.657104571,181633.08422143097,15,0.073489820109464,0.175591531755915,0.0035602744345382843
196.0,"Margery Street, Clerkenwell",531037.147665002,182542.454941816,19,0.013424030189312,0.077210460772105,0.003953240786377618
197.0,"New Road 1 , Whitechapel",534507.422829386,181691.389809923,36,0.025965253653191,0.097135740971357,0.004499828805468868
198.0,"Grosvenor Crescent, Belgravia",528277.444849485,179664.470869623,18,0.011966872728449,0.023661270236613,0.0037813223299915937
199.0,"Mallory Street, Marylebone",527310.826970086,182268.95580047497,20,0.004807953088397,0.036114570361146,0.007088688407661881
200.0,"Denyer Street, Knightsbridge",527477.461111339,178777.525079323,30,0.029234439192466,0.095890410958904,0.005208501330109076
201.0,"Hinde Street, Marylebone",528325.657863489,181387.052068158,21,0.052111661256935,0.129514321295143,0.004717242751403865
202.0,"Cadogan Place, Knightsbridge",527957.837167536,178907.833411657,34,0.018076167342624,0.053549190535492,0.0061837563673973655
203.0,"Campden Hill Road, Notting Hill",525091.384817602,180166.143604028,17,0.003056581606945,0.031133250311333,0.00205289744874404
204.0,"Wellington Arch, Hyde Park",528535.927175294,179822.896894285,36,0.057117243119271,0.127023661270237,0.006217727648283516
205.0,"Endsleigh Gardens, Euston",529782.690611872,182538.89179631,32,0.047749631337698,0.210460772104608,0.010529078385048424
206.0,"Moorfields, Moorgate",532732.409357985,181749.213355026,54,0.11840124678791,0.293897882938979,0.015066178938064962
207.0,"Old Brompton Road, South Kensington",526365.155519369,178462.531538867,30,0.014706780350773,0.12453300124533,0.004664529720717544
208.0,"Wormwood Street, Liverpool Street",533151.297651347,181439.85332356696,16,0.118755443613336,0.38480697384807,0.003542671001678832
209.0,"St. Luke's Church, Chelsea",527128.312897788,178336.476193274,20,0.03146749189946,0.123287671232877,0.0034018059122625814
210.0,"Bramham Gardens, Earl's Court",525732.222736522,178351.052956677,29,0.013013412945828,0.141967621419676,0.004288197890014394
211.0,"Chelsea Green, Chelsea",527383.891920588,178455.889481883,15,0.014942762698843,0.063511830635118,0.0027270854902234237
212.0,"Horseferry Road, Westminster",529878.270392124,178981.75957877,16,0.067520695969752,0.154420921544209,0.003805888305230052
213.0,"Knightsbridge, Hyde Park",528129.2838158,179812.903910141,43,0.006195919291774,0.019925280199253,0.010433214570812631
214.0,"Rodney Road , Walworth",532680.057630752,178673.965752865,24,0.017634297591679,0.088418430884184,0.003143078514804333
215.0,"Queensway, Kensington Gardens",525882.508937345,180601.864395732,17,0.025656389490274,0.149439601494396,0.006508235111397089
216.0,"Notting Hill Gate Station, Notting Hill",525259.0132191529,180477.361954312,30,0.013778252092673,0.122042341220423,0.004708346451164256
217.0,"Charles II Street, West End",529738.507606393,180483.196395998,24,0.067465576264145,0.148194271481943,0.00885285685116798
218.0,"Great Percy Street, Clerkenwell",530819.030197115,182797.378879076,23,0.013184635402226,0.062266500622665,0.00470381786786621
219.0,"St. James's Square, St. James's",529553.861303624,180370.20947413496,40,0.152005196021238,0.325031133250311,0.008778708650794694
220.0,"Whitehall Place, Strand",530350.047100899,180297.03347743297,46,0.112509740688933,0.275217932752179,0.035974341887243744
221.0,"Poured Lines, Bankside",531737.364889554,180339.272085645,31,0.021748928980327,0.072229140722291,0.008850669800431095
222.0,"Queen's Gate (Central), South Kensington",526530.1502214068,178794.738917347,31,0.022657727218776,0.12453300124533,0.00704020999499359
223.0,"Carey Street, Holborn",531048.383483347,181255.54917146,16,0.032896946945471,0.047322540473225,0.005720405927853556
224.0,"Pall Mall East, West End",529824.134111064,180411.33922745296,22,0.062077994780714,0.11706102117061,0.007762371540875352
225.0,"Liverpool Road (N1 Centre), Angel",531386.890353479,183429.782814412,24,0.012411058300243,0.070983810709838,0.004648334020491377
226.0,"Kennington Road  , Vauxhall",531224.160973954,179107.646730387,36,0.021247294097729,0.090909090909091,0.00760359201742946
227.0,"Fashion Street, Whitechapel",533767.128070561,181699.749870945,30,0.015666298136479,0.058530510585305,0.007286854921104823
228.0,"Dock Street, Wapping",534163.420784943,180754.328162596,30,0.035061380917316,0.140722291407223,0.004302698854653679
229.0,"Frampton Street, Paddington",526707.207544412,182078.802399312,32,0.006505102448371,0.047322540473225,0.0051698086042361304
230.0,"Warren Street Station, Euston",529268.3702029609,182259.483282503,26,0.082176812104084,0.205479452054795,0.0070491923044354214
