index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance,leisure,residence,shopping,university,restaurant
"Northington Street , Holborn",530934.505810079048388,182061.659535295009846,22.000000000000000,530934.505810079048388,182061.659535295009846,"19",0.0039121,200.000000,2006.57558,"12","0",0.1332503110,0.2801992520,2.44645,0.0589611590,0.0415628370,3.00000,2.00000,3.00000,3.00000,1.00000,6.00000
"Red Lion Square, Holborn",530598.349359577056020,181735.367011394992005,23.000000000000000,530598.349359577056020,181735.367011394992005,"16",0.0040867,200.000000,1630.25658,"7","0",0.0572851800,0.1755915310,8.65210,0.0185215400,0.0251761500,2.00000,7.00000,7.00000,4.00000,0.00001,11.00000
"British Museum, Bloomsbury",530214.784278420032933,181687.750570606993278,24.000000000000000,530214.784278420032933,181687.750570606993278,"35",0.0086690,200.000000,1187.91116,"8","0",0.0921544200,0.2702366120,13.75946,0.0413187330,0.0413054170,0.00001,5.00000,20.00000,5.00000,0.00001,6.00000
"Doric Way , Somers Town",529658.188558381982148,182754.224471841007471,25.000000000000000,529658.188558381982148,182754.224471841007471,"50",0.0101336,200.000000,902.25919,"10","2",0.1618929010,0.2777085920,9.47132,0.0216359080,0.0516261650,6.00000,5.00000,1.00000,6.00000,0.00001,7.00000
"Ampton Street , Clerkenwell",530631.707939109997824,182602.725895929004764,26.000000000000000,530631.707939109997824,182602.725895929004764,"21",0.0050537,200.000000,2222.85907,"7","0",0.0684931500,0.1494396010,6.35798,0.0144694440,0.0233135220,1.00000,0.00001,2.00000,0.00001,0.00001,1.00000
"Bouverie Street, Temple",531388.961138749960810,181129.527427327004261,27.000000000000000,531388.961138749960810,181129.527427327004261,"33",0.0091491,200.000000,171.14340,"5","0",0.1457036110,0.2440846820,36.67197,0.0655489660,0.0225483290,0.00001,4.00000,9.00000,1.00000,0.00001,5.00000
"Bolsover Street, Fitzrovia",528886.884994947002269,182145.191779499000404,28.000000000000000,528886.884994947002269,182145.191779499000404,"19",0.0033176,200.000000,1496.07216,"6","1",0.1419676210,0.2515566620,16.24499,0.0347756120,0.0336540630,1.00000,4.00000,9.00000,4.00000,0.00001,4.00000
"Hereford Road, Bayswater",525448.983724839985371,180969.326543056988157,29.000000000000000,525448.983724839985371,180969.326543056988157,"22",0.0038173,200.000000,2111.15717,"3","0",0.0983810710,0.1967621420,0.00001,0.0145846050,0.0293111020,1.00000,1.00000,0.00001,17.00000,0.00001,14.00000
"Windsor Terrace, Hoxton",532347.133815433015116,182860.123039711004822,30.000000000000000,532347.133815433015116,182860.123039711004822,"24",0.0046732,200.000000,1532.70642,"5","0",0.0809464500,0.1693648810,12.91799,0.0157901920,0.0311396500,1.00000,1.00000,0.00001,5.00000,0.00001,1.00000
"Fanshaw Street, Hoxton",533047.208965537021868,182921.317506944003981,31.000000000000000,533047.208965537021868,182921.317506944003981,"36",0.0067099,200.000000,2883.83825,"0","0",0.1058530510,0.2478206720,11.67667,0.0279425090,0.0458423420,1.00000,3.00000,0.00001,2.00000,0.00001,1.00000
"Leonard Circus , Shoreditch",532985.971973279956728,182376.762905098003102,32.000000000000000,532985.971973279956728,182376.762905098003102,"43",0.0087659,200.000000,468.54557,"4","0",0.1195516810,0.2254047320,8.58335,0.0463473070,0.0340727240,3.00000,3.00000,0.00001,1.00000,0.00001,5.00000
"Central House, Aldgate",534002.472571410005912,181348.195220233988948,33.000000000000000,534002.472571410005912,181348.195220233988948,"18",0.0030308,200.000000,1405.69528,"5","1",0.0747198000,0.2615193020,5.49718,0.0163800360,0.0459079220,1.00000,7.00000,1.00000,9.00000,1.00000,8.00000
"Pancras Road, King's Cross",529837.242999966954812,183345.488751258002594,34.000000000000000,529837.242999966954812,183345.488751258002594,"16",0.0019479,200.000000,770.94389,"2","0",0.0772104600,0.1133250310,9.08556,0.0190897020,0.0191438760,0.00001,2.00000,3.00000,1.00000,0.00001,0.00001
"De Vere Gardens, Kensington",526073.272576991003007,179650.130818359000841,35.000000000000000,526073.272576991003007,179650.130818359000841,"28",0.0138249,200.000000,1148.24676,"6","0",0.0772104600,0.1905354910,0.00001,0.0156322030,0.0282841230,0.00001,5.00000,3.00000,1.00000,0.00001,5.00000
"Penywern Road, Earl's Court",525587.391807732055895,178512.195851758006029,36.000000000000000,525587.391807732055895,178512.195851758006029,"17",0.0028682,200.000000,2494.26759,"3","1",0.1270236610,0.2403486920,9.30767,0.0073880320,0.0318206400,1.00000,0.00001,1.00000,1.00000,0.00001,1.00000
"Abingdon Villas, Kensington",525233.782490646000952,179149.703423300990835,37.000000000000000,525233.782490646000952,179149.703423300990835,"17",0.0025180,200.000000,1276.08250,"4","0",0.0547945200,0.1394769610,0.00001,0.0081267890,0.0168275670,0.00001,5.00000,4.00000,6.00000,0.00001,3.00000
"Shoreditch High Street, Shoreditch",533424.616129106027074,182579.642087641987018,38.000000000000000,533424.616129106027074,182579.642087641987018,"41",0.0070647,200.000000,1390.82863,"8","0",0.1643835610,0.3835616430,0.00001,0.0529639670,0.0661205750,2.00000,4.00000,0.00001,8.00000,0.00001,8.00000
"Commercial Street, Shoreditch",533615.793931841035374,182020.005432553007267,39.000000000000000,533615.793931841035374,182020.005432553007267,"16",0.0035131,200.000000,1035.16246,"5","0",0.0709838100,0.2141967620,50.65566,0.0183592590,0.0346017820,1.00000,7.00000,4.00000,6.00000,0.00001,4.00000
"Pindar Street, Liverpool Street",533062.311184328049421,181968.565272779000225,40.000000000000000,533062.311184328049421,181968.565272779000225,"24",0.0107628,200.000000,232.92207,"6","0",0.0859277700,0.1033623910,7.53774,0.0495898990,0.0075984990,0.00001,3.00000,0.00001,0.00001,0.00001,1.00000
"Wenlock Road , Hoxton",532306.402924617053941,183062.787264090991812,41.000000000000000,532306.402924617053941,183062.787264090991812,"28",0.0050760,200.000000,1398.94517,"1","0",0.1282689910,0.2453300120,12.70236,0.0263646620,0.0407734590,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Crawford Street, Marylebone",527953.837187877972610,181752.599151166999945,42.000000000000000,527953.837187877972610,181752.599151166999945,"18",0.0042770,200.000000,2304.97814,"3","0",0.1407222910,0.2739726020,0.00001,0.0362644530,0.0387477500,0.00001,3.00000,5.00000,3.00000,0.00001,9.00000
"Bruton Street, Mayfair",528880.304793313029222,180723.996524774003774,43.000000000000000,528880.304793313029222,180723.996524774003774,"21",0.0080158,200.000000,259.20588,"3","0",0.0709838100,0.1718555410,0.00001,0.0340456650,0.0174217940,1.00000,4.00000,9.00000,37.00000,0.00001,7.00000
"Boston Place, Marylebone",527593.319115389022045,182000.533053123013815,44.000000000000000,527593.319115389022045,182000.533053123013815,"26",0.0083599,200.000000,1864.59200,"10","1",0.2415940220,0.3175591530,12.47848,0.0236596030,0.0653303030,2.00000,2.00000,5.00000,7.00000,0.00001,0.00001
"Nesham Street, Wapping",534249.341376323020086,180467.134931912005413,45.000000000000000,534249.341376323020086,180467.134931912005413,"16",0.0024169,200.000000,1444.74104,"4","0",0.1307596510,0.2839352420,78.55582,0.0264237330,0.0549048810,0.00001,2.00000,0.00001,0.00001,0.00001,1.00000
