index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance,leisure,residence,shopping,university,restaurant
"Gloucester Terrace, Bayswater",525815.972173018031754,181440.426233350008260,170.000000000000000,525815.972173018031754,181440.426233350008260,"23",0.0032550,200.000000,3270.14572,"5","1",0.0884184300,0.1618929010,79.70408,0.0030356540,0.0258694670,0.00001,1.00000,0.00001,1.00000,0.00001,2.00000
"Ashley Place, Victoria",529145.924059782992117,179108.814626036997652,171.000000000000000,529145.924059782992117,179108.814626036997652,"25",0.0068420,200.000000,1120.13837,"14","1",0.2266500620,0.2777085920,0.00001,0.0769969970,0.0424859900,0.00001,0.00001,1.00000,4.00000,0.00001,2.00000
"Warwick Square, Pimlico",529099.685476348036900,178408.789725275011733,172.000000000000000,529099.685476348036900,178408.789725275011733,"19",0.0037977,200.000000,3552.02066,"0","0",0.1108343710,0.2241594020,9.73650,0.0189957890,0.0380627470,0.00001,0.00001,1.00000,3.00000,0.00001,0.00001
"North Audley Street, Mayfair",528217.714708173996769,180948.160348718985915,173.000000000000000,528217.714708173996769,180948.160348718985915,"17",0.0036455,200.000000,1093.72116,"7","0",0.0896637600,0.2615193020,0.00001,0.0312738290,0.0335154430,0.00001,0.00001,1.00000,5.00000,0.00001,2.00000
"Belgrave Square, Belgravia",528354.116008535027504,179451.275338553008623,174.000000000000000,528354.116008535027504,179451.275338553008623,"21",0.0035469,200.000000,587.62804,"0","0",0.0821917800,0.1830635110,0.00001,0.0395244420,0.0206408160,0.00001,6.00000,6.00000,0.00001,0.00001,0.00001
"Bell Street , Marylebone",527347.766529556014575,181936.991127385990694,175.000000000000000,527347.766529556014575,181936.991127385990694,"18",0.0033200,200.000000,2431.66231,"3","1",0.1320049810,0.1681195510,0.00001,0.0194521750,0.0279748310,1.00000,1.00000,1.00000,7.00000,0.00001,2.00000
"Riverlight North, Nine Elms",529522.159132517990656,177578.331917620002059,176.000000000000000,529522.159132517990656,177578.331917620002059,"24",0.0031195,200.000000,76.83671,"3","0",0.1307596510,0.2652552920,0.00001,0.0209065980,0.0474116470,0.00001,1.00000,0.00001,2.00000,0.00001,3.00000
"Portland Place, Marylebone",528787.026684960001148,181831.514907943987055,177.000000000000000,528787.026684960001148,181831.514907943987055,"34",0.0066829,200.000000,1169.67315,"2","0",0.1120797010,0.2515566620,23.08424,0.0255998800,0.0313853790,0.00001,1.00000,5.00000,0.00001,0.00001,0.00001
"Alderney Street, Pimlico",529183.198416384053417,178205.485596224985784,178.000000000000000,529183.198416384053417,178205.485596224985784,"14",0.0023326,200.000000,4704.11757,"4","0",0.1295143210,0.2777085920,0.00001,0.0150127590,0.0558452510,0.00001,4.00000,5.00000,11.00000,0.00001,1.00000
"South Wharf Road, Paddington",526664.633541292976588,181403.820308846014086,179.000000000000000,526664.633541292976588,181403.820308846014086,"16",0.0031091,200.000000,350.55897,"6","2",0.1444582810,0.2204234120,62.65660,0.0285378600,0.0343609470,1.00000,0.00001,1.00000,3.00000,0.00001,0.00001
"Queen's Gate (South), South Kensington",526559.002243228955194,178632.627494549000403,180.000000000000000,526559.002243228955194,178632.627494549000403,"25",0.0050418,200.000000,1383.07163,"6","0",0.0797011200,0.2428393520,0.00001,0.0093864860,0.0328886840,0.00001,1.00000,2.00000,2.00000,0.00001,2.00000
"Nutford Place, Marylebone",527460.486927957972512,181331.291421897010878,181.000000000000000,527460.486927957972512,181331.291421897010878,"18",0.0055277,200.000000,3221.94658,"4","0",0.0697384800,0.1768368610,11.92206,0.0185501410,0.0270987960,1.00000,2.00000,2.00000,1.00000,0.00001,4.00000
"Claremont Square, Angel",531202.069068395998329,183110.957590195990633,182.000000000000000,531202.069068395998329,183110.957590195990633,"18",0.0035657,200.000000,1408.09830,"10","0",0.0572851800,0.1369863010,20.65199,0.0057166760,0.0228581990,1.00000,2.00000,2.00000,5.00000,1.00000,2.00000
"Rampayne Street, Pimlico",529723.308905381010845,178436.145001294004032,183.000000000000000,529723.308905381010845,178436.145001294004032,"21",0.0038299,200.000000,2816.83040,"8","1",0.1207970110,0.2403486920,7.67389,0.0232580140,0.0400600100,0.00001,5.00000,2.00000,13.00000,0.00001,3.00000
"Hyde Park Corner, Hyde Park",528253.540467086946592,179860.525259688001825,184.000000000000000,528253.540467086946592,179860.525259688001825,"36",0.0086454,200.000000,168.60900,"10","1",0.1594022410,0.3524283930,19.67038,0.0385055440,0.0371763400,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Wardour Street, Soho",529636.432207767968066,180937.784577324986458,185.000000000000000,529636.432207767968066,180937.784577324986458,"16",0.0043759,200.000000,1579.02129,"2","0",0.1095890410,0.4009962640,25.07511,0.0444215020,0.0636112600,0.00001,0.00001,2.00000,4.00000,0.00001,9.00000
"Bankside Mix, Bankside",531943.749460692051798,180257.006891544006066,186.000000000000000,531943.749460692051798,180257.006891544006066,"60",0.0212014,200.000000,727.39962,"3","0",0.1394769610,0.2366127020,10.87275,0.0627599560,0.0327214050,2.00000,4.00000,1.00000,4.00000,0.00001,5.00000
"Hop Exchange, The Borough",532534.555103747989051,180143.192025155993178,187.000000000000000,532534.555103747989051,180143.192025155993178,"56",0.0111564,200.000000,822.61268,"5","0",0.3100871730,0.6039850560,36.76661,0.1148648820,0.1044528200,3.00000,5.00000,4.00000,9.00000,2.00000,18.00000
"Milroy Walk, South Bank",531524.092407201998867,180391.850878413009923,188.000000000000000,531524.092407201998867,180391.850878413009923,"30",0.0097552,200.000000,935.81105,"9","0",0.1295143210,0.2366127020,9.29412,0.0441314100,0.0375943960,2.00000,3.00000,0.00001,3.00000,0.00001,2.00000
"Union Street, The Borough",532069.658287602011114,180024.714859238010831,189.000000000000000,532069.658287602011114,180024.714859238010831,"17",0.0045289,200.000000,915.88007,"5","0",0.1095890410,0.2303860520,6.20159,0.0400190620,0.0403957430,0.00001,0.00001,1.00000,0.00001,0.00001,1.00000
"Stamford Street, South Bank",531153.286373142967932,180209.500398367003072,190.000000000000000,531153.286373142967932,180209.500398367003072,"27",0.0107974,200.000000,1395.72309,"7","0",0.1594022410,0.2453300120,4.88892,0.0377289930,0.0462537660,0.00001,1.00000,0.00001,0.00001,0.00001,3.00000
"Great Tower Street, Monument",533126.373362201964483,180800.837758279987611,191.000000000000000,533126.373362201964483,180800.837758279987611,"24",0.0050142,200.000000,62.62215,"5","0",0.3125778330,0.4943960140,9.05919,0.0976817970,0.0699906510,5.00000,8.00000,5.00000,19.00000,0.00001,18.00000
"LMU Commercial Road, Whitechapel",534287.444649972952902,181316.894892877986422,192.000000000000000,534287.444649972952902,181316.894892877986422,"14",0.0019476,200.000000,2716.04246,"2","0",0.1058530510,0.2702366120,0.00001,0.0161857020,0.0481848520,0.00001,1.00000,0.00001,1.00000,0.00001,2.00000
"Dorset Square, Marylebone",527674.059003971051425,182007.070686502003809,193.000000000000000,527674.059003971051425,182007.070686502003809,"16",0.0050625,200.000000,2602.53178,"10","1",0.2366127020,0.3175591530,12.47848,0.0392829470,0.0584398360,0.00001,3.00000,1.00000,4.00000,0.00001,5.00000
"Leman Street, Aldgate",534060.290791135048494,181039.610633839998627,194.000000000000000,534060.290791135048494,181039.610633839998627,"37",0.0054942,200.000000,1837.97528,"0","0",0.1457036110,0.2801992520,10.80336,0.0293512990,0.0502327560,1.00000,1.00000,0.00001,2.00000,0.00001,1.00000
"West Smithfield Rotunda, Farringdon",531868.657104571000673,181633.084221430995967,195.000000000000000,531868.657104571000673,181633.084221430995967,"15",0.0035603,200.000000,358.67600,"1","0",0.1755915310,0.3125778330,2.59283,0.0734898200,0.0495020700,1.00000,2.00000,5.00000,0.00001,0.00001,0.00001
"Margery Street, Clerkenwell",531037.147665002034046,182542.454941815987695,196.000000000000000,531037.147665002034046,182542.454941815987695,"19",0.0039532,200.000000,1740.21929,"6","0",0.0772104600,0.1481942710,1.94696,0.0134240300,0.0285932830,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"New Road 1 , Whitechapel",534507.422829385963269,181691.389809923013672,197.000000000000000,534507.422829385963269,181691.389809923013672,"36",0.0044998,200.000000,2398.14567,"5","0",0.0971357410,0.2428393520,2.49628,0.0259652530,0.0408128660,2.00000,4.00000,0.00001,9.00000,0.00001,5.00000
"Grosvenor Crescent, Belgravia",528277.444849484949373,179664.470869623008184,198.000000000000000,528277.444849484949373,179664.470869623008184,"18",0.0037813,200.000000,314.92164,"11","1",0.0236612700,0.0498132000,5.18106,0.0119668720,0.0055480500,2.00000,1.00000,2.00000,0.00001,0.00001,1.00000
"Mallory Street, Marylebone",527310.826970085967332,182268.955800474999705,199.000000000000000,527310.826970085967332,182268.955800474999705,"20",0.0070887,200.000000,3445.49429,"3","0",0.0361145700,0.0834371100,0.00001,0.0048079530,0.0121188260,0.00001,0.00001,0.00001,0.00001,0.00001,1.00000
"Denyer Street, Knightsbridge",527477.461111339041963,178777.525079323007958,200.000000000000000,527477.461111339041963,178777.525079323007958,"30",0.0052085,200.000000,2147.43895,"2","0",0.0958904110,0.1245330010,0.00001,0.0292344390,0.0180213930,0.00001,2.00000,2.00000,27.00000,0.00001,4.00000
"Hinde Street, Marylebone",528325.657863489002921,181387.052068157994654,201.000000000000000,528325.657863489002921,181387.052068157994654,"21",0.0047172,200.000000,1035.57226,"0","0",0.1295143210,0.3387297630,0.00001,0.0521116610,0.0433670140,2.00000,7.00000,6.00000,14.00000,0.00001,15.00000
"Cadogan Place, Knightsbridge",527957.837167536024936,178907.833411656989483,202.000000000000000,527957.837167536024936,178907.833411656989483,"34",0.0061838,200.000000,1488.41543,"2","0",0.0535491900,0.0684931500,0.00001,0.0180761670,0.0089674540,0.00001,0.00001,3.00000,5.00000,0.00001,1.00000
"Campden Hill Road, Notting Hill",525091.384817601996474,180166.143604028009577,203.000000000000000,525091.384817601996474,180166.143604028009577,"17",0.0020529,200.000000,1542.81838,"0","0",0.0311332500,0.0983810710,0.00001,0.0030565810,0.0115745860,0.00001,0.00001,7.00000,2.00000,0.00001,2.00000
"Wellington Arch, Hyde Park",528535.927175294025801,179822.896894284989685,204.000000000000000,528535.927175294025801,179822.896894284989685,"36",0.0062177,200.000000,136.46790,"6","0",0.1270236610,0.2615193020,9.02713,0.0571172430,0.0334076040,0.00001,1.00000,3.00000,2.00000,0.00001,1.00000
"Endsleigh Gardens, Euston",529782.690611872007139,182538.891796309995698,205.000000000000000,529782.690611872007139,182538.891796309995698,"32",0.0105291,200.000000,1014.16140,"11","0",0.2104607720,0.3225404730,0.00001,0.0477496310,0.0544486850,1.00000,3.00000,10.00000,1.00000,0.00001,3.00000
"Moorfields, Moorgate",532732.409357985015959,181749.213355026004137,206.000000000000000,532732.409357985015959,181749.213355026004137,"54",0.0150662,200.000000,566.11434,"8","1",0.2938978820,0.3997509340,7.01250,0.1184012460,0.0463175580,3.00000,0.00001,0.00001,1.00000,0.00001,0.00001
"Old Brompton Road, South Kensington",526365.155519368941896,178462.531538867013296,207.000000000000000,526365.155519368941896,178462.531538867013296,"30",0.0046645,200.000000,1847.23884,"5","0",0.1245330010,0.2515566620,0.00001,0.0147067800,0.0348773890,0.00001,2.00000,2.00000,2.00000,0.00001,5.00000
"Wormwood Street, Liverpool Street",533151.297651347005740,181439.853323566989275,208.000000000000000,533151.297651347005740,181439.853323566989275,"16",0.0035427,200.000000,42.94291,"12","0",0.3848069730,0.5828144450,99.72232,0.1187554430,0.0790792460,9.00000,3.00000,1.00000,1.00000,0.00001,3.00000
"St. Luke's Church, Chelsea",527128.312897788011469,178336.476193273992976,209.000000000000000,527128.312897788011469,178336.476193273992976,"20",0.0034018,200.000000,1326.69608,"3","0",0.1232876710,0.2353673720,14.82052,0.0314674910,0.0221914170,0.00001,1.00000,0.00001,2.00000,0.00001,1.00000
"Bramham Gardens, Earl's Court",525732.222736521973275,178351.052956677012844,210.000000000000000,525732.222736521973275,178351.052956677012844,"29",0.0042882,200.000000,2462.41373,"3","0",0.1419676210,0.2503113320,9.30767,0.0130134120,0.0362422090,0.00001,2.00000,1.00000,7.00000,0.00001,8.00000
"Chelsea Green, Chelsea",527383.891920587979257,178455.889481883001281,211.000000000000000,527383.891920587979257,178455.889481883001281,"15",0.0027271,200.000000,2095.05947,"2","0",0.0635118300,0.1382316310,0.00001,0.0149427620,0.0221101040,1.00000,2.00000,1.00000,18.00000,0.00001,6.00000
"Horseferry Road, Westminster",529878.270392123959027,178981.759578769997461,212.000000000000000,529878.270392123959027,178981.759578769997461,"16",0.0038059,200.000000,2757.99006,"6","0",0.1544209210,0.3163138230,0.00001,0.0675206960,0.0390664230,1.00000,1.00000,1.00000,2.00000,0.00001,2.00000
"Knightsbridge, Hyde Park",528129.283815799979493,179812.903910141001688,213.000000000000000,528129.283815799979493,179812.903910141001688,"43",0.0104332,200.000000,404.73100,"9","1",0.0199252800,0.0697384800,6.62509,0.0061959190,0.0039908780,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Rodney Road , Walworth",532680.057630751980469,178673.965752865013201,214.000000000000000,532680.057630751980469,178673.965752865013201,"24",0.0031431,200.000000,2011.44473,"4","0",0.0884184300,0.1581569110,35.59740,0.0176342970,0.0344076790,0.00001,0.00001,0.00001,2.00000,0.00001,0.00001
"Queensway, Kensington Gardens",525882.508937345002778,180601.864395732001867,215.000000000000000,525882.508937345002778,180601.864395732001867,"17",0.0065082,200.000000,1018.28234,"5","1",0.1494396010,0.2565379820,12.91281,0.0256563890,0.0377293160,0.00001,0.00001,0.00001,2.00000,0.00001,5.00000
"Notting Hill Gate Station, Notting Hill",525259.013219153042883,180477.361954311985755,216.000000000000000,525259.013219153042883,180477.361954311985755,"30",0.0047083,200.000000,1909.34546,"12","1",0.1220423410,0.2528019920,0.00001,0.0137782520,0.0320560230,2.00000,7.00000,3.00000,30.00000,0.00001,11.00000
"Charles II Street, West End",529738.507606392959133,180483.196395998005755,217.000000000000000,529738.507606392959133,180483.196395998005755,"24",0.0088529,200.000000,254.16966,"9","0",0.1481942710,0.2328767120,8.53275,0.0674655760,0.0269189390,3.00000,15.00000,4.00000,13.00000,1.00000,32.00000
"Great Percy Street, Clerkenwell",530819.030197115032934,182797.378879075986333,218.000000000000000,530819.030197115032934,182797.378879075986333,"23",0.0047038,200.000000,2234.07139,"7","0",0.0622665000,0.1755915310,12.49298,0.0131846350,0.0303778060,1.00000,0.00001,4.00000,2.00000,0.00001,3.00000
"St. James's Square, St. James's",529553.861303623998538,180370.209474134986522,219.000000000000000,529553.861303623998538,180370.209474134986522,"40",0.0087787,200.000000,237.68450,"4","0",0.3250311330,0.5828144450,8.53275,0.1520051960,0.0762018780,0.00001,2.00000,7.00000,19.00000,0.00001,3.00000
"Whitehall Place, Strand",530350.047100899042562,180297.033477432996733,220.000000000000000,530350.047100899042562,180297.033477432996733,"46",0.0359743,200.000000,182.86903,"3","2",0.2752179320,0.4259028640,16.41120,0.1125097400,0.0656279870,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Poured Lines, Bankside",531737.364889553980902,180339.272085645003244,221.000000000000000,531737.364889553980902,180339.272085645003244,"31",0.0088507,200.000000,609.14166,"6","0",0.0722291400,0.1668742210,9.34440,0.0217489290,0.0263104920,0.00001,0.00001,0.00001,1.00000,0.00001,0.00001
"Queen's Gate (Central), South Kensington",526530.150221406947821,178794.738917346985545,222.000000000000000,526530.150221406947821,178794.738917346985545,"31",0.0070402,200.000000,1370.91390,"8","0",0.1245330010,0.2104607720,0.00001,0.0226577270,0.0243741200,0.00001,7.00000,1.00000,11.00000,0.00001,12.00000
"Carey Street, Holborn",531048.383483347017318,181255.549171460006619,223.000000000000000,531048.383483347017318,181255.549171460006619,"16",0.0057204,200.000000,182.21669,"0","0",0.0473225400,0.1332503110,33.18609,0.0328969460,0.0153794440,2.00000,2.00000,0.00001,1.00000,0.00001,1.00000
"Pall Mall East, West End",529824.134111064020544,180411.339227452990599,224.000000000000000,529824.134111064020544,180411.339227452990599,"22",0.0077624,200.000000,176.97351,"7","0",0.1170610210,0.3325031130,8.53275,0.0620779940,0.0487572540,0.00001,6.00000,5.00000,0.00001,0.00001,0.00001
"Liverpool Road (N1 Centre), Angel",531386.890353478956968,183429.782814411999425,225.000000000000000,531386.890353478956968,183429.782814411999425,"24",0.0046483,200.000000,1279.78853,"10","0",0.0709838100,0.2851805720,9.11113,0.0124110580,0.0603533130,8.00000,2.00000,0.00001,12.00000,0.00001,6.00000
"Kennington Road  , Vauxhall",531224.160973954014480,179107.646730387001298,226.000000000000000,531224.160973954014480,179107.646730387001298,"36",0.0076036,200.000000,1820.78742,"7","0",0.0909090900,0.1755915310,11.84143,0.0212472940,0.0329404020,0.00001,2.00000,2.00000,4.00000,0.00001,2.00000
"Fashion Street, Whitechapel",533767.128070560982451,181699.749870945001021,227.000000000000000,533767.128070560982451,181699.749870945001021,"30",0.0072869,200.000000,1951.73151,"4","0",0.0585305100,0.1892901610,0.00001,0.0156662980,0.0338875530,4.00000,4.00000,1.00000,1.00000,0.00001,2.00000
"Dock Street, Wapping",534163.420784943038598,180754.328162596008042,228.000000000000000,534163.420784943038598,180754.328162596008042,"30",0.0043027,200.000000,1425.04819,"1","0",0.1407222910,0.2552926520,176.95619,0.0350613800,0.0447563770,0.00001,4.00000,0.00001,2.00000,0.00001,0.00001
"Frampton Street, Paddington",526707.207544411998242,182078.802399312000489,229.000000000000000,526707.207544411998242,182078.802399312000489,"32",0.0051698,200.000000,2640.91843,"4","0",0.0473225400,0.1606475710,76.55264,0.0065051020,0.0277709320,0.00001,2.00000,0.00001,9.00000,0.00001,5.00000
"Warren Street Station, Euston",529268.370202961028554,182259.483282503002556,230.000000000000000,529268.370202961028554,182259.483282503002556,"26",0.0070492,200.000000,1204.51087,"11","1",0.2054794520,0.4420921540,4.12970,0.0821768120,0.0584414080,4.00000,3.00000,6.00000,3.00000,0.00001,4.00000
"Beaumont Street, Marylebone",528352.587665810948238,181957.379777194990311,231.000000000000000,528352.587665810948238,181957.379777194990311,"23",0.0039454,200.000000,1600.00872,"1","0",0.1108343710,0.2615193020,0.00001,0.0391120850,0.0339350230,0.00001,4.00000,8.00000,18.00000,0.00001,4.00000
"Gloucester Street, Pimlico",529257.631756225950085,178537.657306534994859,232.000000000000000,529257.631756225950085,178537.657306534994859,"25",0.0064714,200.000000,2816.28791,"2","0",0.1257783310,0.2241594020,20.78594,0.0135245890,0.0420535830,1.00000,3.00000,12.00000,4.00000,0.00001,2.00000
"Earnshaw Street , Covent Garden",529951.476209893007763,181353.246090645989170,233.000000000000000,529951.476209893007763,181353.246090645989170,"18",0.0046733,200.000000,1040.72194,"11","2",0.1095890410,0.3474470730,5.64571,0.0458382520,0.0591336810,4.00000,5.00000,5.00000,7.00000,0.00001,14.00000
"Grosvenor Road, Pimlico",529088.420045066042803,177898.645713367994176,234.000000000000000,529088.420045066042803,177898.645713367994176,"29",0.0038496,200.000000,2220.38338,"2","0",0.0572851800,0.1120797010,0.00001,0.0033382800,0.0176029910,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Berry Street, Clerkenwell",531906.610821597976610,182158.267522926995298,235.000000000000000,531906.610821597976610,182158.267522926995298,"41",0.0088176,200.000000,2132.09802,"6","0",0.1531755910,0.3125778330,0.00001,0.0611346350,0.0431743570,0.00001,6.00000,1.00000,1.00000,1.00000,3.00000
"St. John's Wood Church, The Regent's Park",527209.268562310957350,182881.212777497014031,236.000000000000000,527209.268562310957350,182881.212777497014031,"50",0.0054198,200.000000,604.89251,"6","0",0.0498132000,0.1183063510,0.00001,0.0061471870,0.0141649230,0.00001,3.00000,1.00000,4.00000,0.00001,1.00000
"Triangle Car Park, Hyde Park",527077.115423414972611,180189.082811191998189,237.000000000000000,527077.115423414972611,180189.082811191998189,"27",0.0032091,200.000000,24.25003,"0","0",0.0597758400,0.1917808210,106.09544,0.0129877140,0.0243960840,0.00001,1.00000,0.00001,0.00001,0.00001,0.00001
"Harper Road, The Borough",532250.182907172944397,179462.370708106987877,238.000000000000000,532250.182907172944397,179462.370708106987877,"42",0.0080018,200.000000,1819.00497,"2","0",0.0797011200,0.1867995010,0.00001,0.0138014100,0.0401287990,0.00001,1.00000,1.00000,0.00001,0.00001,1.00000
"Royal Avenue 1, Chelsea",527649.071286504040472,178379.093857987987576,239.000000000000000,527649.071286504040472,178379.093857987987576,"10",0.0159978,200.000000,1876.43757,"4","0",0.0510585300,0.1270236610,18.15929,0.0085539170,0.0173017550,4.00000,4.00000,1.00000,35.00000,0.00001,1.00000
"Brushfield Street, Liverpool Street",533363.498419107054360,181740.108926504006376,240.000000000000000,533363.498419107054360,181740.108926504006376,"34",0.0077733,200.000000,307.23020,"12","1",0.2789539220,0.5516811950,4.96084,0.1093397620,0.0847629260,6.00000,10.00000,1.00000,3.00000,1.00000,15.00000
"Shoreditch Park, Hoxton",532822.857730685034767,183416.007068684994010,241.000000000000000,532822.857730685034767,183416.007068684994010,"30",0.0038691,200.000000,1537.74898,"4","0",0.1108343710,0.1967621420,5.18153,0.0154282550,0.0408262320,0.00001,2.00000,0.00001,0.00001,0.00001,0.00001
"Chadwell Street, Angel",531446.775636479025707,182988.911697712988826,242.000000000000000,531446.775636479025707,182988.911697712988826,"18",0.0038674,200.000000,1729.98877,"10","0",0.1307596510,0.2677459520,5.63402,0.0239249510,0.0519315710,1.00000,8.00000,1.00000,3.00000,0.00001,5.00000
"Clifton Road, Maida Vale",526387.264085368020460,182304.751103640010115,243.000000000000000,526387.264085368020460,182304.751103640010115,"22",0.0024479,200.000000,2909.94859,"4","0",0.0884184300,0.1718555410,0.00001,0.0051600530,0.0315509670,0.00001,1.00000,0.00001,3.00000,0.00001,1.00000
"Houghton Street, Strand",530779.994339955970645,181091.700656467000954,244.000000000000000,530779.994339955970645,181091.700656467000954,"15",0.0073481,200.000000,156.51737,"9","0",0.0734744700,0.2316313820,0.00001,0.0400595890,0.0282476220,2.00000,8.00000,1.00000,2.00000,0.00001,6.00000
"Westminster University, Marylebone",528101.806733828969300,182015.128097228996921,245.000000000000000,528101.806733828969300,182015.128097228996921,"16",0.0029510,200.000000,1611.88439,"6","1",0.0821917800,0.1656288910,0.00001,0.0240366660,0.0260437580,2.00000,2.00000,1.00000,6.00000,0.00001,0.00001
"Kensington Gore, Knightsbridge",526513.381995929987170,179642.052516044001095,246.000000000000000,526513.381995929987170,179642.052516044001095,"23",0.0081607,200.000000,496.64224,"9","0",0.0398505600,0.1768368610,0.00001,0.0161285030,0.0164099580,0.00001,3.00000,2.00000,0.00001,0.00001,1.00000
"Bourne Street, Belgravia",528303.371419808012433,178501.776306649000617,247.000000000000000,528303.371419808012433,178501.776306649000617,"16",0.0023296,200.000000,1300.46306,"3","0",0.1183063510,0.2104607720,0.00001,0.0267464120,0.0301415330,0.00001,4.00000,3.00000,2.00000,0.00001,2.00000
"Broadwick Street, Soho",529470.834386607981287,181062.155392687011044,248.000000000000000,529470.834386607981287,181062.155392687011044,"18",0.0043553,200.000000,1198.70149,"0","0",0.1245330010,0.3474470730,28.21008,0.0451825800,0.0559839130,1.00000,7.00000,13.00000,23.00000,0.00001,24.00000
"Princes Square, Bayswater",525597.816437539993785,180945.538577256986173,249.000000000000000,525597.816437539993785,180945.538577256986173,"16",0.0037281,200.000000,1924.69369,"0","0",0.0510585300,0.1108343710,0.00001,0.0083129980,0.0183303260,0.00001,1.00000,0.00001,0.00001,0.00001,0.00001
"LSBU (Borough Road), Elephant & Castle",531762.724052650970407,179468.034354633011390,250.000000000000000,531762.724052650970407,179468.034354633011390,"35",0.0080527,200.000000,1469.26604,"2","0",0.0560398500,0.1481942710,9.61017,0.0116055370,0.0263814560,0.00001,3.00000,1.00000,1.00000,0.00001,2.00000
"St. Mary Axe, Aldgate",533279.129016535007395,181225.929839296004502,251.000000000000000,533279.129016535007395,181225.929839296004502,"21",0.0043618,200.000000,93.13220,"7","0",0.1457036110,0.3026151930,9.44724,0.0660156090,0.0277369960,2.00000,10.00000,3.00000,2.00000,1.00000,1.00000
"Tysoe Street, Clerkenwell",531263.459935441031121,182525.925944057991728,252.000000000000000,531263.459935441031121,182525.925944057991728,"20",0.0047024,200.000000,1595.92396,"10","0",0.1145703610,0.3337484430,1.94696,0.0379297900,0.0550076940,0.00001,0.00001,0.00001,2.00000,0.00001,4.00000
"Southwick Street, Paddington",527124.741573208943009,181256.261455214989837,253.000000000000000,527124.741573208943009,181256.261455214989837,"17",0.0027539,200.000000,2381.85410,"1","0",0.0971357410,0.1917808210,9.99994,0.0106813010,0.0316492280,0.00001,2.00000,2.00000,1.00000,0.00001,2.00000
"Queen's Gate (North), Kensington",526401.339069635025226,179578.702760930988006,254.000000000000000,526401.339069635025226,179578.702760930988006,"41",0.0153126,200.000000,583.14387,"10","0",0.0610211700,0.2453300120,0.00001,0.0164946740,0.0191660930,0.00001,0.00001,1.00000,0.00001,0.00001,0.00001
"Regency Street, Westminster",529761.550574781955220,178666.076604598987615,255.000000000000000,529761.550574781955220,178666.076604598987615,"22",0.0047961,200.000000,4527.82707,"2","0",0.1133250310,0.1955168120,0.00001,0.0242445970,0.0308366380,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Belgrave Road, Victoria",528929.423250167979859,178765.647325133992126,256.000000000000000,528929.423250167979859,178765.647325133992126,"29",0.0062387,200.000000,1655.82055,"10","1",0.1432129510,0.2166874220,0.00001,0.0344448870,0.0349907010,2.00000,6.00000,8.00000,6.00000,0.00001,4.00000
"Empire Square, The Borough",532689.115230952971615,179720.999776293989271,257.000000000000000,532689.115230952971615,179720.999776293989271,"46",0.0079207,200.000000,2526.09201,"5","0",0.1394769610,0.2366127020,21.24031,0.0320121490,0.0444963880,1.00000,2.00000,1.00000,4.00000,0.00001,1.00000
"Kennington Lane Rail Bridge, Vauxhall",530455.409018996986561,178047.635471393994521,258.000000000000000,530455.409018996986561,178047.635471393994521,"31",0.0067428,200.000000,1114.81359,"11","2",0.2528019920,0.3848069730,2.54389,0.0548033820,0.0702490130,3.00000,7.00000,0.00001,7.00000,0.00001,4.00000
"London Zoo,  The Regent's Park",527962.575817052042112,183488.348757569008740,259.000000000000000,527962.575817052042112,183488.348757569008740,"32",0.0022525,200.000000,216.66086,"2","0",0.0174346200,0.0647571600,0.00001,0.0013824510,0.0094517030,0.00001,8.00000,0.00001,1.00000,0.00001,0.00001
"Baylis Road, Waterloo",531228.094175082980655,179745.338612054008991,260.000000000000000,531228.094175082980655,179745.338612054008991,"22",0.0052539,200.000000,1086.41573,"7","0",0.2565379820,0.4122042340,2.91554,0.0636780560,0.0776162260,5.00000,6.00000,0.00001,11.00000,0.00001,11.00000
"Belvedere Road 1, South Bank",530943.823343846946955,180264.190373627003282,261.000000000000000,530943.823343846946955,180264.190373627003282,"38",0.1733931,200.000000,442.84790,"7","0",0.1070983810,0.2777085920,14.37728,0.0178238190,0.0661481690,0.00001,11.00000,1.00000,2.00000,0.00001,14.00000
"Warwick Road, Olympia",524678.476418856997043,179056.093711169000017,262.000000000000000,524678.476418856997043,179056.093711169000017,"36",0.0038730,200.000000,1197.21806,"5","0",0.1232876710,0.2341220420,0.00001,0.0166693430,0.0344971170,1.00000,0.00001,2.00000,5.00000,0.00001,3.00000
"Barbican Centre, Barbican",532460.421009478974156,181843.479263434011955,263.000000000000000,532460.421009478974156,181843.479263434011955,"19",0.0050874,200.000000,1553.61349,"3","0",0.0909090900,0.3113325030,6.40092,0.0338065200,0.0529781170,0.00001,22.00000,1.00000,1.00000,0.00001,7.00000
