index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"Hinde Street, Marylebone",528325.6579,181387.0521,201,528325.6579,181387.0521,21,0.0047172,200,2,20,1,6,7,14,0.00001,1035.57226,0,0.00001,0.129514321,0.338729763,0.00001,0.052111661,0.043367014,2,0.00001,0.00001,15,0.00001,10,0.10607
"Cadogan Place, Knightsbridge",527957.8372,178907.8334,202,527957.8372,178907.8334,34,0.0061838,200,0.00001,2,1,3,0.00001,5,0.00001,1488.41543,2,0.00001,0.05354919,0.06849315,0.00001,0.018076167,0.008967454,0.00001,0.00001,0.00001,1,0.00001,5,0.13655
"Campden Hill Road, Notting Hill",525091.3848,180166.1436,203,525091.3848,180166.1436,17,0.0020529,200,0.00001,4,0.00001,7,0.00001,2,0.00001,1542.81838,0,0.00001,0.03113325,0.098381071,0.00001,0.003056581,0.011574586,0.00001,0.00001,0.00001,2,0.00001,0.00001,0.10129
"Wellington Arch, Hyde Park",528535.9272,179822.8969,204,528535.9272,179822.8969,36,0.0062177,200,0.00001,1,0.00001,3,1,2,0.00001,136.4679,6,0.00001,0.127023661,0.261519302,9.02713,0.057117243,0.033407604,0.00001,0.00001,0.00001,1,0.00001,2,0.12026
"Endsleigh Gardens, Euston",529782.6906,182538.8918,205,529782.6906,182538.8918,32,0.0105291,200,1,9,0.00001,10,3,2,0.00001,1014.1614,11,0.00001,0.210460772,0.322540473,0.00001,0.047749631,0.054448685,1,0.00001,2,3,0.00001,0.00001,0.31771
"Moorfields, Moorgate",532732.4094,181749.2134,206,532732.4094,181749.2134,54,0.0150662,200,3,1,0.00001,0.00001,0.00001,1,0.00001,566.11434,8,1,0.293897882,0.399750934,7.0125,0.118401246,0.046317558,3,0.00001,0.00001,0.00001,0.00001,1,0.49565
"Old Brompton Road, South Kensington",526365.1555,178462.5315,207,526365.1555,178462.5315,30,0.0046645,200,0.00001,8,1,2,2,2,0.00001,1847.23884,5,0.00001,0.124533001,0.251556662,0.00001,0.01470678,0.034877389,0.00001,1,0.00001,5,0.00001,0.00001,0.08342
"Wormwood Street, Liverpool Street",533151.2977,181439.8533,208,533151.2977,181439.8533,16,0.0035427,200,9,18,1,1,3,3,0.00001,42.94291,12,0.00001,0.384806973,0.582814445,99.72232,0.118755443,0.079079246,9,1,0.00001,3,0.00001,0.00001,0.12551
"St. Luke's Church, Chelsea",527128.3129,178336.4762,209,527128.3129,178336.4762,20,0.0034018,200,0.00001,2,0.00001,0.00001,1,2,1,1326.69608,3,0.00001,0.123287671,0.235367372,14.82052,0.031467491,0.022191417,0.00001,0.00001,0.00001,1,0.00001,2,0.06887
"Bramham Gardens, Earl's Court",525732.2227,178351.053,210,525732.2227,178351.053,29,0.0042882,200,0.00001,14,7,1,2,7,1,2462.41373,3,0.00001,0.141967621,0.250311332,9.30767,0.013013412,0.036242209,0.00001,0.00001,0.00001,8,0.00001,0.00001,0.14619
"Chelsea Green, Chelsea",527383.8919,178455.8895,211,527383.8919,178455.8895,15,0.0027271,200,1,10,2,1,2,20,0.00001,2095.05947,2,0.00001,0.06351183,0.138231631,0.00001,0.014942762,0.022110104,1,0.00001,0.00001,6,0.00001,6,0.07242
"Horseferry Road, Westminster",529878.2704,178981.7596,212,529878.2704,178981.7596,16,0.0038059,200,1,7,0.00001,1,1,2,0.00001,2757.99006,6,0.00001,0.154420921,0.316313823,0.00001,0.067520696,0.039066423,1,0.00001,0.00001,2,0.00001,0.00001,0.16333
"Knightsbridge, Hyde Park",528129.2838,179812.9039,213,528129.2838,179812.9039,43,0.0104332,200,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,404.731,9,1,0.01992528,0.06973848,6.62509,0.006195919,0.003990878,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.1416
"Rodney Road , Walworth",532680.0576,178673.9658,214,532680.0576,178673.9658,24,0.0031431,200,0.00001,3,0.00001,0.00001,0.00001,2,0.00001,2011.44473,4,0.00001,0.08841843,0.158156911,35.5974,0.017634297,0.034407679,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.10576
"Queensway, Kensington Gardens",525882.5089,180601.8644,215,525882.5089,180601.8644,17,0.0065082,200,0.00001,7,0.00001,0.00001,0.00001,2,0.00001,1018.28234,5,1,0.149439601,0.256537982,12.91281,0.025656389,0.037729316,0.00001,0.00001,0.00001,5,0.00001,1,6.25876
"Notting Hill Gate Station, Notting Hill",525259.0132,180477.362,216,525259.0132,180477.362,30,0.0047083,200,2,30,3,3,7,31,1,1909.34546,12,1,0.122042341,0.252801992,0.00001,0.013778252,0.032056023,2,1,0.00001,11,0.00001,13,1.98364
"Charles II Street, West End",529738.5076,180483.1964,217,529738.5076,180483.1964,24,0.0088529,200,3,43,1,4,15,13,2,254.16966,9,0.00001,0.148194271,0.232876712,8.53275,0.067465576,0.026918939,3,4,0.00001,32,1,7,0.17553
"Great Percy Street, Clerkenwell",530819.0302,182797.3789,218,530819.0302,182797.3789,23,0.0047038,200,1,7,0.00001,4,0.00001,2,0.00001,2234.07139,7,0.00001,0.0622665,0.175591531,12.49298,0.013184635,0.030377806,1,0.00001,2,3,0.00001,0.00001,0.06374
"St. James's Square, St. James's",529553.8613,180370.2095,219,529553.8613,180370.2095,40,0.0087787,200,0.00001,10,0.00001,7,2,19,0.00001,237.6845,4,0.00001,0.325031133,0.582814445,8.53275,0.152005196,0.076201878,0.00001,1,0.00001,3,0.00001,18,0.14089
"Whitehall Place, Strand",530350.0471,180297.0335,220,530350.0471,180297.0335,46,0.0359743,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,182.86903,3,2,0.275217932,0.425902864,16.4112,0.11250974,0.065627987,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1.26969
"Poured Lines, Bankside",531737.3649,180339.2721,221,531737.3649,180339.2721,31,0.0088507,200,0.00001,1,0.00001,0.00001,0.00001,1,1,609.14166,6,0.00001,0.07222914,0.166874221,9.3444,0.021748929,0.026310492,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.2505
"Queen's Gate (Central), South Kensington",526530.1502,178794.7389,222,526530.1502,178794.7389,31,0.0070402,200,0.00001,18,1,1,7,11,0.00001,1370.9139,8,0.00001,0.124533001,0.210460772,0.00001,0.022657727,0.02437412,0.00001,1,0.00001,12,0.00001,0.00001,0.11516
"Carey Street, Holborn",531048.3835,181255.5492,223,531048.3835,181255.5492,16,0.0057204,200,2,2,0.00001,0.00001,2,1,0.00001,182.21669,0,0.00001,0.04732254,0.133250311,33.18609,0.032896946,0.015379444,2,0.00001,0.00001,1,0.00001,0.00001,0.12361
"Pall Mall East, West End",529824.1341,180411.3392,224,529824.1341,180411.3392,22,0.0077624,200,0.00001,4,0.00001,5,6,0.00001,0.00001,176.97351,7,0.00001,0.117061021,0.332503113,8.53275,0.062077994,0.048757254,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.22041
"Liverpool Road (N1 Centre), Angel",531386.8904,183429.7828,225,531386.8904,183429.7828,24,0.0046483,200,8,17,4,0.00001,2,14,0.00001,1279.78853,10,0.00001,0.07098381,0.285180572,9.11113,0.012411058,0.060353313,8,1,0.00001,6,0.00001,6,0.11478
"Kennington Road  , Vauxhall",531224.161,179107.6467,226,531224.161,179107.6467,36,0.0076036,200,0.00001,6,4,2,2,4,2,1820.78742,7,0.00001,0.09090909,0.175591531,11.84143,0.021247294,0.032940402,0.00001,1,1,2,0.00001,0.00001,0.20926
"Fashion Street, Whitechapel",533767.1281,181699.7499,227,533767.1281,181699.7499,30,0.0072869,200,4,5,0.00001,1,4,1,0.00001,1951.73151,4,0.00001,0.05853051,0.189290161,0.00001,0.015666298,0.033887553,4,0.00001,0.00001,2,0.00001,1,0.11495
"Dock Street, Wapping",534163.4208,180754.3282,228,534163.4208,180754.3282,30,0.0043027,200,0.00001,0.00001,0.00001,0.00001,4,2,1,1425.04819,1,0.00001,0.140722291,0.255292652,176.95619,0.03506138,0.044756377,0.00001,2,1,0.00001,0.00001,0.00001,0.11929
"Frampton Street, Paddington",526707.2075,182078.8024,229,526707.2075,182078.8024,32,0.0051698,200,0.00001,7,1,0.00001,2,10,0.00001,2640.91843,4,0.00001,0.04732254,0.160647571,76.55264,0.006505102,0.027770932,0.00001,0.00001,0.00001,5,0.00001,3,0.05514
"Warren Street Station, Euston",529268.3702,182259.4833,230,529268.3702,182259.4833,26,0.0070492,200,4,6,0.00001,7,3,4,0.00001,1204.51087,11,1,0.205479452,0.442092154,4.1297,0.082176812,0.058441408,4,0.00001,0.00001,4,0.00001,2,1.25817
"Beaumont Street, Marylebone",528352.5877,181957.3798,231,528352.5877,181957.3798,23,0.0039454,200,0.00001,6,6,8,4,19,1,1600.00872,1,0.00001,0.110834371,0.261519302,0.00001,0.039112085,0.033935023,0.00001,1,0.00001,4,0.00001,14,0.12083
"Gloucester Street, Pimlico",529257.6318,178537.6573,232,529257.6318,178537.6573,25,0.0064714,200,1,5,4,13,3,4,0.00001,2816.28791,2,0.00001,0.125778331,0.224159402,20.78594,0.013524589,0.042053583,1,0.00001,12,2,0.00001,0.00001,0.18058
"Earnshaw Street , Covent Garden",529951.4762,181353.2461,233,529951.4762,181353.2461,18,0.0046733,200,4,36,2,5,5,8,0.00001,1040.72194,11,2,0.109589041,0.347447073,5.64571,0.045838252,0.059133681,4,0.00001,1,14,0.00001,1,0.19765
"Grosvenor Road, Pimlico",529088.42,177898.6457,234,529088.42,177898.6457,29,0.0038496,200,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,2220.38338,2,0.00001,0.05728518,0.112079701,0.00001,0.00333828,0.017602991,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.09272
"Berry Street, Clerkenwell",531906.6108,182158.2675,235,531906.6108,182158.2675,41,0.0088176,200,0.00001,11,1,1,6,3,1,2132.09802,6,0.00001,0.153175591,0.312577833,0.00001,0.061134635,0.043174357,0.00001,0.00001,0.00001,3,1,1,0.08537
"St. John's Wood Church, The Regent's Park",527209.2686,182881.2128,236,527209.2686,182881.2128,50,0.0054198,200,0.00001,2,1,1,3,4,0.00001,604.89251,6,0.00001,0.0498132,0.118306351,0.00001,0.006147187,0.014164923,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.04233
"Triangle Car Park, Hyde Park",527077.1154,180189.0828,237,527077.1154,180189.0828,27,0.0032091,200,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,24.25003,0,0.00001,0.05977584,0.191780821,106.09544,0.012987714,0.024396084,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0605
"Harper Road, The Borough",532250.1829,179462.3707,238,532250.1829,179462.3707,42,0.0080018,200,0.00001,2,1,1,1,0.00001,0.00001,1819.00497,2,0.00001,0.07970112,0.186799501,0.00001,0.01380141,0.040128799,0.00001,1,0.00001,1,0.00001,0.00001,0.20071
"Royal Avenue 1, Chelsea",527649.0713,178379.0939,239,527649.0713,178379.0939,10,0.0159978,200,4,6,3,1,4,36,0.00001,1876.43757,4,0.00001,0.05105853,0.127023661,18.15929,0.008553917,0.017301755,4,0.00001,0.00001,1,0.00001,26,0.07697
"Brushfield Street, Liverpool Street",533363.4984,181740.1089,240,533363.4984,181740.1089,34,0.0077733,200,6,38,6,1,10,5,1,307.2302,12,1,0.278953922,0.551681195,4.96084,0.109339762,0.084762926,6,1,0.00001,15,1,3,0.10146
"Shoreditch Park, Hoxton",532822.8577,183416.0071,241,532822.8577,183416.0071,30,0.0038691,200,0.00001,0.00001,2,0.00001,2,0.00001,0.00001,1537.74898,4,0.00001,0.110834371,0.196762142,5.18153,0.015428255,0.040826232,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.04651
"Chadwell Street, Angel",531446.7756,182988.9117,242,531446.7756,182988.9117,18,0.0038674,200,1,14,0.00001,1,8,4,0.00001,1729.98877,10,0.00001,0.130759651,0.267745952,5.63402,0.023924951,0.051931571,1,0.00001,0.00001,5,0.00001,1,0.13282
"Clifton Road, Maida Vale",526387.2641,182304.7511,243,526387.2641,182304.7511,22,0.0024479,200,0.00001,4,2,0.00001,1,3,0.00001,2909.94859,4,0.00001,0.08841843,0.171855541,0.00001,0.005160053,0.031550967,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.05717
"Houghton Street, Strand",530779.9943,181091.7007,244,530779.9943,181091.7007,15,0.0073481,200,2,18,2,1,8,2,0.00001,156.51737,9,0.00001,0.07347447,0.231631382,0.00001,0.040059589,0.028247622,2,0.00001,0.00001,6,0.00001,1,0.14323
"Westminster University, Marylebone",528101.8067,182015.1281,245,528101.8067,182015.1281,16,0.002951,200,2,9,0.00001,1,2,6,0.00001,1611.88439,6,1,0.08219178,0.165628891,0.00001,0.024036666,0.026043758,2,0.00001,0.00001,0.00001,0.00001,3,0.55565
"Kensington Gore, Knightsbridge",526513.382,179642.0525,246,526513.382,179642.0525,23,0.0081607,200,0.00001,2,0.00001,2,3,0.00001,0.00001,496.64224,9,0.00001,0.03985056,0.176836861,0.00001,0.016128503,0.016409958,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.06002
"Bourne Street, Belgravia",528303.3714,178501.7763,247,528303.3714,178501.7763,16,0.0023296,200,0.00001,3,0.00001,3,4,2,1,1300.46306,3,0.00001,0.118306351,0.210460772,0.00001,0.026746412,0.030141533,0.00001,0.00001,0.00001,2,0.00001,1,0.1701
"Broadwick Street, Soho",529470.8344,181062.1554,248,529470.8344,181062.1554,18,0.0043553,200,1,45,2,13,7,26,0.00001,1198.70149,0,0.00001,0.124533001,0.347447073,28.21008,0.04518258,0.055983913,1,1,1,24,0.00001,17,0.11953
"Princes Square, Bayswater",525597.8164,180945.5386,249,525597.8164,180945.5386,16,0.0037281,200,0.00001,0.00001,2,0.00001,1,0.00001,0.00001,1924.69369,0,0.00001,0.05105853,0.110834371,0.00001,0.008312998,0.018330326,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.09255
"LSBU (Borough Road), Elephant & Castle",531762.7241,179468.0344,250,531762.7241,179468.0344,35,0.0080527,200,0.00001,5,0.00001,1,3,1,2,1469.26604,2,0.00001,0.05603985,0.148194271,9.61017,0.011605537,0.026381456,0.00001,0.00001,1,2,0.00001,0.00001,0.23818
"St. Mary Axe, Aldgate",533279.129,181225.9298,251,533279.129,181225.9298,21,0.0043618,200,2,21,1,3,10,3,1,93.1322,7,0.00001,0.145703611,0.302615193,9.44724,0.066015609,0.027736996,2,0.00001,1,1,1,0.00001,0.15388
"Tysoe Street, Clerkenwell",531263.4599,182525.9259,252,531263.4599,182525.9259,20,0.0047024,200,0.00001,6,0.00001,0.00001,0.00001,3,0.00001,1595.92396,10,0.00001,0.114570361,0.333748443,1.94696,0.03792979,0.055007694,0.00001,0.00001,0.00001,4,0.00001,0.00001,0.06611
"Southwick Street, Paddington",527124.7416,181256.2615,253,527124.7416,181256.2615,17,0.0027539,200,0.00001,3,0.00001,2,2,1,0.00001,2381.8541,1,0.00001,0.097135741,0.191780821,9.99994,0.010681301,0.031649228,0.00001,0.00001,0.00001,2,0.00001,0.00001,0.06705
"Queen's Gate (North), Kensington",526401.3391,179578.7028,254,526401.3391,179578.7028,41,0.0153126,200,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,583.14387,10,0.00001,0.06102117,0.245330012,0.00001,0.016494674,0.019166093,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.06191
"Regency Street, Westminster",529761.5506,178666.0766,255,529761.5506,178666.0766,22,0.0047961,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,4527.82707,2,0.00001,0.113325031,0.195516812,0.00001,0.024244597,0.030836638,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.18564
"Belgrave Road, Victoria",528929.4233,178765.6473,256,528929.4233,178765.6473,29,0.0062387,200,2,19,1,8,6,7,0.00001,1655.82055,10,1,0.143212951,0.216687422,0.00001,0.034444887,0.034990701,2,0.00001,7,4,0.00001,2,0.34939
"Empire Square, The Borough",532689.1152,179720.9998,257,532689.1152,179720.9998,46,0.0079207,200,1,4,0.00001,1,2,4,1,2526.09201,5,0.00001,0.139476961,0.236612702,21.24031,0.032012149,0.044496388,1,0.00001,0.00001,1,0.00001,0.00001,0.22607
"Kennington Lane Rail Bridge, Vauxhall",530455.409,178047.6355,258,530455.409,178047.6355,31,0.0067428,200,3,19,0.00001,0.00001,7,8,0.00001,1114.81359,11,2,0.252801992,0.384806973,2.54389,0.054803382,0.070249013,3,3,0.00001,4,0.00001,0.00001,5.62043
"London Zoo,  The Regent's Park",527962.5758,183488.3488,259,527962.5758,183488.3488,32,0.0022525,200,0.00001,1,0.00001,0.00001,8,1,0.00001,216.66086,2,0.00001,0.01743462,0.06475716,0.00001,0.001382451,0.009451703,0.00001,5,0.00001,0.00001,0.00001,0.00001,0.03866
"Baylis Road, Waterloo",531228.0942,179745.3386,260,531228.0942,179745.3386,22,0.0052539,200,5,23,2,0.00001,6,11,1,1086.41573,7,0.00001,0.256537982,0.412204234,2.91554,0.063678056,0.077616226,5,1,1,11,0.00001,3,0.95272
"Belvedere Road 1, South Bank",530943.8233,180264.1904,261,530943.8233,180264.1904,38,0.1733931,200,0.00001,25,0.00001,1,11,2,0.00001,442.8479,7,0.00001,0.107098381,0.277708592,14.37728,0.017823819,0.066148169,0.00001,4,0.00001,14,0.00001,1,0.65761
"Warwick Road, Olympia",524678.4764,179056.0937,262,524678.4764,179056.0937,36,0.003873,200,1,5,2,2,0.00001,6,0.00001,1197.21806,5,0.00001,0.123287671,0.234122042,0.00001,0.016669343,0.034497117,1,0.00001,0.00001,3,0.00001,0.00001,0.0586
"Barbican Centre, Barbican",532460.421,181843.4793,263,532460.421,181843.4793,19,0.0050874,200,0.00001,10,1,1,22,1,2,1553.61349,3,0.00001,0.09090909,0.311332503,6.40092,0.03380652,0.052978117,0.00001,4,0.00001,7,0.00001,0.00001,0.14032
"Lower Thames Street, Monument",532993.5005,180673.9213,264,532993.5005,180673.9213,24,0.0174731,200,1,9,0.00001,4,1,4,0.00001,48.04101,6,1,0.112079701,0.123287671,0.00001,0.03488972,0.011827202,1,0.00001,0.00001,0.00001,0.00001,2,0.25602
"Kensington Church Street, Kensington",525611.6065,179793.8446,265,525611.6065,179793.8446,17,0.0032352,200,1,11,1,3,4,15,1,1389.00271,3,0.00001,0.117061021,0.246575342,0.00001,0.013254268,0.035554638,1,0.00001,0.00001,6,0.00001,3,0.07914
"Tooley Street, Bermondsey",533374.2154,180036.6702,266,533374.2154,180036.6702,27,0.0036417,200,4,20,0.00001,2,9,3,0.00001,456.6321,7,0.00001,0.215442092,0.428393524,6.94083,0.061857309,0.073675281,4,2,0.00001,10,0.00001,0.00001,0.23699
"North Wharf Road, Paddington",526606.3471,181546.0918,267,526606.3471,181546.0918,25,0.0047394,200,0.00001,9,0.00001,0.00001,4,1,0.00001,807.21505,7,2,0.132004981,0.178082191,20.10733,0.031327146,0.020638936,0.00001,0.00001,0.00001,4,0.00001,0.00001,0.05792
"Royal Avenue 2, Chelsea",527672.057,178391.9367,268,527672.057,178391.9367,10,0.015977,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1773.40035,4,0.00001,0.098381071,0.230386052,18.15929,0.020188318,0.031050203,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.07937
"Smith Square, Westminster",530080.276,179091.9602,269,530080.276,179091.9602,18,0.0038824,200,0.00001,2,1,2,0.00001,1,0.00001,916.37946,8,0.00001,0.161892901,0.276463262,0.00001,0.095751118,0.030468219,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.16037
"Kingsway, Covent Garden",530658.9918,181178.2596,270,530658.9918,181178.2596,16,0.0095917,200,0.00001,5,0.00001,1,0.00001,1,0.00001,995.66256,4,0.00001,0.04234122,0.123287671,0.00001,0.019684517,0.016269904,0.00001,0.00001,0.00001,4,0.00001,1,0.13954
"Lambeth North Station, Waterloo",531142.7788,179490.7732,271,531142.7788,179490.7732,20,0.0050147,200,1,20,1,3,3,9,0.00001,1263.86494,7,1,0.07845579,0.209215442,1.55999,0.017456308,0.042307235,1,0.00001,2,6,0.00001,2,1.1155
"St. John's Wood Road, St. John's Wood",526715.4458,182516.3365,272,526715.4458,182516.3365,35,0.0047221,200,0.00001,0.00001,0.00001,5,2,0.00001,0.00001,2676.24874,2,0.00001,0.05479452,0.123287671,0.00001,0.001956353,0.019866904,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.04525
"Bedford Way, Bloomsbury",529947.131,182193.0429,273,529947.131,182193.0429,23,0.0063094,200,2,13,1,14,6,3,7,1466.13079,9,0.00001,0.06724782,0.183063511,26.5191,0.027750778,0.022903514,2,1,3,6,7,1,0.13684
"Elizabeth Bridge, Victoria",528706.2293,178678.8882,274,528706.2293,178678.8882,34,0.0069542,200,0.00001,2,0.00001,0.00001,1,1,0.00001,1141.30132,23,0.00001,0.132004981,0.266500622,14.13992,0.035822167,0.04762363,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.20122
"South Audley Street, Mayfair",528393.3453,180537.3117,275,528393.3453,180537.3117,15,0.0033812,200,0.00001,2,0.00001,8,1,4,0.00001,659.51292,0,0.00001,0.05354919,0.120797011,0.00001,0.017286626,0.013421433,0.00001,0.00001,0.00001,2,0.00001,3,0.08524
"St Mary's Hospital, Paddington",526990.9444,181505.0401,276,526990.9444,181505.0401,20,0.003539,200,2,7,1,0.00001,5,7,1,1842.58904,5,0.00001,0.190535491,0.281444582,7.99501,0.051469716,0.041744321,2,0.00001,0.00001,4,0.00001,0.00001,0.06461
"Claverton Street, Pimlico",529377.0066,177850.6601,277,529377.0066,177850.6601,32,0.0042643,200,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1733.24733,1,0.00001,0.05230386,0.145703611,0.00001,0.009992975,0.028117796,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.10834
"Montpelier Street, Knightsbridge",527430.3505,179364.3066,278,527430.3505,179364.3066,16,0.0022509,200,5,26,9,2,7,45,0.00001,1073.56502,2,0.00001,0.109589041,0.235367372,0.00001,0.034315495,0.028174512,5,0.00001,0.00001,15,0.00001,24,0.07389
"Kensington Olympia Station, Olympia",524387.0734,179214.0825,279,524387.0734,179214.0825,25,0.0030365,200,0.00001,0.00001,0.00001,1,1,1,0.00001,2156.89909,2,1,0.05977584,0.139476961,17.28412,0.002014608,0.018417169,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.05934
"St. George's Square, Pimlico",529541.7047,178235.1405,280,529541.7047,178235.1405,16,0.0025014,200,1,4,1,4,2,8,1,3435.41718,7,1,0.135740971,0.251556662,0.00001,0.024790957,0.046253014,1,2,4,4,0.00001,2,0.25249
"Swan Street, The Borough",532479.3813,179654.395,281,532479.3813,179654.395,27,0.0062945,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2936.8243,8,1,0.095890411,0.220423412,21.24031,0.018018742,0.035896046,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.31769
"Knaresborough Place, Earl's Court",525710.1904,178741.705,282,525710.1904,178741.705,18,0.0030358,200,2,7,1,5,5,10,1,2923.42657,1,0.00001,0.06351183,0.143212951,10.46728,0.00357308,0.022000157,2,0.00001,0.00001,6,1,0.00001,0.14157
"Geraldine Street, Elephant & Castle",531573.8905,179164.5026,283,531573.8905,179164.5026,17,0.004189,200,0.00001,0.00001,0.00001,3,2,0.00001,0.00001,1272.2532,3,0.00001,0.02988792,0.08219178,8.05951,0.005658308,0.019046454,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.2398
"Curlew Street, Shad Thames",533762.9075,179906.5543,284,533762.9075,179906.5543,21,0.0030271,200,0.00001,10,1,2,2,3,0.00001,3897.13598,2,0.00001,0.123287671,0.267745952,3.5944,0.031509807,0.052641392,0.00001,0.00001,0.00001,6,0.00001,0.00001,0.11795
"Vincent Square, Westminster",529429.8598,178872.8262,285,529429.8598,178872.8262,19,0.0049704,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2486.50997,3,0.00001,0.06600249,0.117061021,0.00001,0.016671942,0.018182556,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.24113
"Serpentine Car Park, Hyde Park",526894.2792,180035.2048,286,526894.2792,180035.2048,18,0.0022352,200,0.00001,0.00001,0.00001,0.00001,5,0.00001,0.00001,12.90083,0,0.00001,0.169364881,0.195516812,21.19057,0.038611296,0.025411085,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.05854
"Marylebone Lane, Marylebone",528596.385,181161.7276,287,528596.385,181161.7276,24,0.0103932,200,1,6,2,0.00001,2,14,0.00001,775.55626,6,2,0.136986301,0.303860523,18.75025,0.055520837,0.042741647,1,1,0.00001,1,0.00001,13,0.34291
"Putney Pier, Wandsworth",523981.3476,175731.069,288,523981.3476,175731.069,28,0.0019369,200,0.00001,0.00001,0.00001,1,3,0.00001,0.00001,1177.15797,5,0.00001,0.095890411,0.166874221,140.56428,0.005275765,0.022364412,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.03078
"Albert Gate, Hyde Park",527911.8167,179831.3853,289,527911.8167,179831.3853,34,0.0072141,200,0.00001,6,1,3,2,5,0.00001,602.22057,0,0.00001,0.120797011,0.278953922,6.62209,0.03411626,0.03074125,0.00001,0.00001,0.00001,5,0.00001,4,0.10201
"Rathbone Street, Fitzrovia",529493.5264,181562.2563,290,529493.5264,181562.2563,16,0.0047169,200,0.00001,11,0.00001,0.00001,2,4,0.00001,927.06404,0,0.00001,0.08468244,0.191780821,13.54501,0.035519996,0.024114709,0.00001,0.00001,0.00001,5,0.00001,1,0.11493
"Black Lion Gate, Kensington Gardens",525854.6307,180547.6409,291,525854.6307,180547.6409,24,0.0091596,200,0.00001,18,1,5,7,8,0.00001,515.9517,6,1,0.169364881,0.308841843,12.91281,0.031012196,0.040074339,0.00001,1,0.00001,12,0.00001,2,0.48531
"Long Lane , Bermondsey",532979.2123,179535.9248,292,532979.2123,179535.9248,20,0.0030777,200,1,5,0.00001,0.00001,0.00001,6,0.00001,2932.98936,2,0.00001,0.110834371,0.190535491,4.26839,0.020592227,0.0392931,1,0.00001,0.00001,1,0.00001,1,0.15696
"Embankment (Savoy), Strand",530627.6619,180644.0216,293,530627.6619,180644.0216,41,0.0124664,200,1,12,2,5,4,8,0.00001,249.4299,5,0.00001,0.09339975,0.178082191,29.98743,0.039051718,0.024994388,1,1,0.00001,7,0.00001,6,0.26601
"Black Prince Road, Vauxhall",530832.7912,178558.9584,294,530832.7912,178558.9584,19,0.0035176,200,0.00001,4,1,0.00001,2,3,0.00001,1958.42751,3,0.00001,0.0871731,0.236612702,5.66008,0.014930531,0.052184825,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.16597
"Foley Street, Fitzrovia",529112.4697,181670.4485,295,529112.4697,181670.4485,24,0.0067049,200,1,16,2,3,7,9,0.00001,1882.55455,0,0.00001,0.113325031,0.237858032,0.00001,0.043580252,0.027426649,1,0.00001,0.00001,12,0.00001,3,0.1072
"Grove End Road, St. John's Wood",526570.164,182907.4646,296,526570.164,182907.4646,20,0.0016064,200,0.00001,0.00001,0.00001,2,2,0.00001,0.00001,2474.50096,5,0.00001,0.06102117,0.135740971,0.00001,0.005084673,0.019659678,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.03731
