Start.station,End.station,Counts
"Riverlight North, Nine Elms","Vauxhall Cross, Vauxhall",26
"Doric Way , Somers Town","Cheapside, Bank",26
"Grant Road East, Clapham Junction","Sumner Place, South Kensington",26
"Waterloo Station 3, Waterloo","Duke Street Hill, London Bridge",26
"Waterloo Station 2, Waterloo","Cheapside, Bank",26
"Crimscott Street, Bermondsey","Snowsfields, London Bridge",25
"Eaton Square (South), Belgravia","Flood Street, Chelsea",25
"Ram Street, Wandsworth","Queen's Gate (South), South Kensington",25
"Rathbone Street, Fitzrovia","Whitehall Place, Strand",25
"Wenlock Road , Hoxton","Old Street Station, St. Luke's",25
"Curlew Street, Shad Thames","Newgate Street , St. Paul's",25
"Bancroft Road, Bethnal Green","Fore Street, Guildhall",25
"Albany Street, The Regent's Park","Warren Street Station, Euston",25
"Curlew Street, Shad Thames","Duke Street Hill, London Bridge",25
"Strata, Elephant & Castle","Doddington Grove, Kennington",25
"Page Street, Westminster","Abingdon Green, Westminster",25
"Alfreda Street, Battersea Park","Bayley Street , Bloomsbury",25
"Warwick Square, Pimlico","St. James's Square, St. James's",25
"Woodstock Grove, Shepherd's Bush","Exhibition Road, Knightsbridge",25
"Waterloo Station 1, Waterloo","Bunhill Row, Moorgate",25
"Belgrove Street , King's Cross","Chapel Place, Marylebone",24
"Belgrave Road, Victoria","Page Street, Westminster",24
"Bermondsey Street, Bermondsey","Queen Street 1, Bank",24
"Usk Road, Clapham Junction","Gloucester Terrace, Bayswater",24
"Waterloo Station 1, Waterloo","Cheapside, Bank",24
"Waterloo Station 3, Waterloo","Drury Lane, Covent Garden",24
"Albert Bridge Road, Battersea Park","Sedding Street, Sloane Square",24
"Belgrove Street , King's Cross","Wormwood Street, Liverpool Street",24
"Bethnal Green Road, Shoreditch","Wormwood Street, Liverpool Street",24
"St. Peter's Terrace, Fulham","Gloucester Road Station, South Kensington",24
"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens",24
"Museum of London, Barbican","Berry Street, Clerkenwell",23
"Waterloo Station 2, Waterloo","Queen Victoria Street, St. Paul's",23
