Start.station,End.station,Counts
"Elizabeth Bridge, Victoria","Parson's Green , Parson's Green",3
"Palace Gate, Kensington Gardens","Westminster Pier, Westminster",3
"Temple Gardens, Temple","Whitehall Place, Strand",3
"Palace Gate, Kensington Gardens","St. James's Square, St. James's",3
"Elizabeth Bridge, Victoria","Panton Street, West End",3
"Clifton Road, Maida Vale","Old Quebec Street, Marylebone",3
"Palace Gate, Kensington Gardens","Hyde Park Corner, Hyde Park",3
"Elizabeth Bridge, Victoria","Limerston Street, West Chelsea",3
"Pancras Road, King's Cross","North Audley Street, Mayfair",3
"Howick Place, Westminster","St. James's Square, St. James's",3
"Hoxton Station, Hoxton","Regent's Row , Haggerston",3
"Cleveland Way, Stepney","Southern Grove, Bow",3
"Aylward Street, Stepney","Ansell House, Stepney",3
"Cleveland Gardens, Bayswater","St. Mark's Road, North Kensington",3
"Aylward Street, Stepney","Ada Street, Hackney Central",3
"Houndsditch, Aldgate","Moorfields, Moorgate",3
"St. John Street, Finsbury","Breams Buildings, Holborn",3
"Cleveland Way, Stepney","Bank of England Museum, Bank",3
"Finsbury Leisure Centre, St. Luke's","Bunhill Row, Moorgate",3
"Cleveland Way, Stepney","Cephas Street, Bethnal Green",3
"Waterloo Station 1, Waterloo","Fire Brigade Pier, Vauxhall",3
"Austin Road, Battersea Park","Queen's Circus, Battersea Park",3
"St. John Street, Finsbury","Finsbury Circus, Liverpool Street",3
"Austin Road, Battersea Park","Marylebone Lane, Marylebone",3
"Fournier Street, Whitechapel","Strand, Strand",3
"Cleveland Way, Stepney","Jewry Street, Aldgate",3
"Bethnal Green Garden, Bethnal Green","Bayley Street , Bloomsbury",3
"Cleveland Way, Stepney","Lower Thames Street, Monument",3
"Panton Street, West End","Wormwood Street, Liverpool Street",3
"Panton Street, West End","St. George Street, Mayfair",3
"Waterloo Station 1, Waterloo","Good's Way, King's Cross",3
"Waterloo Station 1, Waterloo","Goswell Road (City Uni), Finsbury",3
"Panton Street, West End","Harriet Street, Knightsbridge",3
"Ashmole Estate, Oval","Wells Street, Fitzrovia",3
"Bethnal Green Garden, Bethnal Green","Queen Mary's, Mile End",3
"St. John's Road, Clapham Junction","Abyssinia Close, Clapham Junction",3
"Howland Street, Fitzrovia","Hop Exchange, The Borough",3
"Hoxton Station, Hoxton","Haggerston Road, Haggerston",3
"St. John's Road, Clapham Junction","Portman Square, Marylebone",3
"Cloudesley Road, Angel","Bury Place, Holborn",3
"Page Street, Westminster","Ashley Place, Victoria",3
"Ashmole Estate, Oval","Chicheley Street, South Bank",3
"Eel Brook Common, Walham Green","Usk Road, Clapham Junction",3
"Ashmole Estate, Oval","Ashley Place, Victoria",3
"Bethnal Green Garden, Bethnal Green","Westferry DLR, Limehouse",3
"Ashmole Estate, Oval","Abbey Orchard Street, Westminster",3
"St. John's Road, Clapham Junction","Wright's Lane, Kensington",3
"Cloudesley Road, Angel","Guilford Street , Bloomsbury",3
"Bolsover Street, Fitzrovia","Warren Street Station, Euston",3
"Paddington Street, Marylebone","Harcourt Terrace, West Brompton",3
"St. John's Wood Church, The Regent's Park","Boston Place, Marylebone",3
"Hoxton Station, Hoxton","Monument Street, Monument",3
"Ashley Place, Victoria","Tachbrook Street, Victoria",3
"Cloudesley Road, Angel","Museum of London, Barbican",3
"Paddington Street, Marylebone","Bolsover Street, Fitzrovia",3
"Cloudesley Road, Angel","Newgate Street , St. Paul's",3
"Paddington Street, Marylebone","Arlington Road, Camden Town",3
"Cloudesley Road, Angel","Queen Street 1, Bank",3
"Page Street, Westminster","Fore Street, Guildhall",3
"Ashmole Estate, Oval","Fire Brigade Pier, Vauxhall",3
"Eel Brook Common, Walham Green","William Morris Way, Sands End",3
"Waterloo Station 1, Waterloo","Scala Street, Fitzrovia",3
"Palace Gardens Terrace, Notting Hill","Queen's Gate, Kensington Gardens",3
"Waterloo Station 1, Waterloo","Ossulston Street, Somers Town",3
"Howland Street, Fitzrovia","Howland Street, Fitzrovia",3
"Great Suffolk Street, The Borough","Exhibition Road, Knightsbridge",3
"St. John's Road, Clapham Junction","Clapham Common Station, Clapham Common",3
"St. John's Road, Clapham Junction","Eastbourne Mews, Paddington",3
"Ashmole Estate, Oval","Normandy Road, Stockwell",3
"Gloucester Road Station, South Kensington","Derry Street, Kensington",3
"Palace Gardens Terrace, Notting Hill","Crisp Road, Hammersmith",3
"Palace Gardens Terrace, Notting Hill","Bell Street , Marylebone",3
"Elizabeth Bridge, Victoria","Allington Street, Victoria",3
"Hoxton Station, Hoxton","Abbey Orchard Street, Westminster",3
"Elizabeth Bridge, Victoria","Cleveland Way, Stepney",3
"Clinton Road, Mile End","Clinton Road, Mile End",3
"Waterloo Station 1, Waterloo","Shoreditch High Street, Shoreditch",3
"Page Street, Westminster","Waterloo Station 1, Waterloo",3
"Clinton Road, Mile End","Embankment (Savoy), Strand",3
"Clinton Road, Mile End","Fore Street Avenue, Guildhall",3
"Clinton Road, Mile End","Jewry Street, Aldgate",3
"Temple Gardens, Temple","Smith Square, Westminster",3
"Clapham Common North Side, Clapham Common","St. John's Road, Clapham Junction",3
"Fore Street, Guildhall","Millbank Tower, Pimlico",3
"Hibbert Street, Battersea","Montserrat Road , Putney",3
"City Road, Angel","Import Dock, Canary Wharf",3
"Putney Pier, Wandsworth","William IV Street, Strand",3
"Chelsea Green, Chelsea","Godliman Street, St. Paul's",3
"St Mary's Hospital, Paddington","North Wharf Road, Paddington",3
"Warwick Road, Olympia","Brook Green South, Brook Green",3
"Prince of Wales Drive, Battersea Park","Upcerne Road, West Chelsea",3
"Endsleigh Gardens, Euston","Museum of London, Barbican",3
"Warwick Avenue Station, Maida Vale","Hop Exchange, The Borough",3
"Grove End Road, St. John's Wood","Beaumont Street, Marylebone",3
"Pritchard's Road, Bethnal Green","Tanner Street, Bermondsey",3
"Hibbert Street, Battersea","Hibbert Street, Battersea",3
"High Holborn , Covent Garden","William IV Street, Strand",3
"Endsleigh Gardens, Euston","Upper Bank Street, Canary Wharf",3
"Pritchard's Road, Bethnal Green","Westferry Circus, Canary Wharf",3
"Wapping Lane, Wapping","Upper Bank Street, Canary Wharf",3
"Endsleigh Gardens, Euston","Chancery Lane, Holborn",3
"Prince of Wales Drive, Battersea Park","Prince of Wales Drive, Battersea Park",3
"Pritchard's Road, Bethnal Green","Westferry DLR, Limehouse",3
"Gloucester Terrace, Bayswater","Kensington Gore, Knightsbridge",3
"Borough High Street, The Borough","Moor Street, Soho",3
"St. Chad's Street, King's Cross","Finsbury Square , Moorgate",3
"The Vale, Chelsea","Exhibition Road Museums 1, South Kensington",3
"Chelsea Green, Chelsea","St. James's Square, St. James's",3
"Chelsea Green, Chelsea","The Vale, Chelsea",3
"Chelsea Green, Chelsea","Crawford Street, Marylebone",3
"Putney Rail Station, Putney","Imperial College, Knightsbridge",3
"Endsleigh Gardens, Euston","Waterloo Station 1, Waterloo",3
"Wapping Lane, Wapping","Jubilee Plaza, Canary Wharf",3
"Gloucester Terrace, Bayswater","Sedding Street, Sloane Square",3
"Wapping Lane, Wapping","Great Tower Street, Monument",3
"Queen Mother Sports Centre, Victoria","Alderney Street, Pimlico",3
"Princes Square, Bayswater","Hyde Park Corner, Hyde Park",3
"Felsham Road, Putney","Imperial Road, Sands End",3
"Queen Mary's, Mile End","Royal London Hospital, Whitechapel",3
"Gloucester Terrace, Bayswater","Imperial College, Knightsbridge",3
"Bank of England Museum, Bank","Worship Street, Shoreditch",3
"Bonny Street, Camden Town","Red Lion Street, Holborn",3
"Gloucester Terrace, Bayswater","Queen's Gate (North), Kensington",3
"City Road, Angel","Westferry Circus, Canary Wharf",3
"Bath Street, St. Luke's","Macclesfield Rd, St Lukes",3
"Pott Street, Bethnal Green","Brushfield Street, Liverpool Street",3
"Borough High Street, The Borough","Aldersgate Street, Barbican",3
"Cheshire Street, Bethnal Green","Finsbury Square , Moorgate",3
"Bath Street, St. Luke's","Queen Street 2, Bank",3
"City Road, Angel","Stonecutter Street, Holborn",3
"Gloucester Terrace, Bayswater","Kensington Church Street, Kensington",3
"St Mary's Hospital, Paddington","Moorfields, Moorgate",3
"Princedale Road , Holland Park","Phillimore Gardens, Kensington",3
"Warwick Avenue Station, Maida Vale","George Street, Marylebone",3
"Bath Street, St. Luke's","Moorfields, Moorgate",3
"Endsleigh Gardens, Euston","Finsbury Library , Finsbury",3
"Warren Street Station, Euston","Charles II Street, West End",3
"Warren Street Station, Euston","Great Titchfield Street, Fitzrovia",3
"Cheshire Street, Bethnal Green","Bunhill Row, Moorgate",3
"Chrisp Street Market, Poplar","Stainsby Road , Poplar",3
"Chepstow Villas, Notting Hill","Kensington Town Hall, Kensington",3
"Barbican Centre, Barbican","Christopher Street, Liverpool Street",3
"Barbican Centre, Barbican","Cheapside, Bank",3
"St Mary's Hospital, Paddington","Queen's Gate, Kensington Gardens",3
"St Mary's Hospital, Paddington","Gower Place , Euston",3
"Prince Albert Road, The Regent's Park","Westbourne Grove, Bayswater",3
"St. Bride Street, Holborn","Abbey Orchard Street, Westminster",3
"City Road, Angel","Christopher Street, Liverpool Street",3
"Gloucester Terrace, Bayswater","Portman Square, Marylebone",3
"Bankside Mix, Bankside","Queen Street 1, Bank",3
"Endsleigh Gardens, Euston","Newton Street, Covent Garden",3
"Wardour Street, Soho","Tooley Street, Bermondsey",3
"Warren Street Station, Euston","Albany Street, The Regent's Park",3
"Poured Lines, Bankside","Wormwood Street, Liverpool Street",3
"Christopher Street, Liverpool Street","Hatton Garden, Holborn",3
"Endsleigh Gardens, Euston","Drury Lane, Covent Garden",3
"Putney Bridge Road, East Putney","St. Luke's Church, Chelsea",3
"City Road, Angel","Bunhill Row, Moorgate",3
"Preston's Road, Cubitt Town","Arundel Street, Temple",3
"Chepstow Villas, Notting Hill","St. James's Square, St. James's",3
"Prince Albert Road, The Regent's Park","Drummond Street , Euston",3
"Prince Albert Road, The Regent's Park","Dorset Square, Marylebone",3
"Wardour Street, Soho","Sedding Street, Sloane Square",3
"City Road, Angel","Commercial Street, Shoreditch",3
"Grosvenor Road, Pimlico","Union Street, The Borough",3
"Chepstow Villas, Notting Hill","Chepstow Villas, Notting Hill",3
"Chrisp Street Market, Poplar","Great Suffolk Street, The Borough",3
"Warwick Road, Olympia","Barons Court Station, West Kensington",3
"Warwick Avenue Station, Maida Vale","Horseferry Road, Westminster",3
"Felsham Road, Putney","Putney Bridge Station, Fulham",3
"Putney Pier, Wandsworth","Green Park Station, Mayfair",3
"Endsleigh Gardens, Euston","St. Mary Axe, Aldgate",3
"Golden Lane, Barbican","Holborn Circus, Holborn",3
"St. Bride Street, Holborn","Warwick Row, Westminster",3
"Hibbert Street, Battersea","Tower Gardens , Tower",3
"Putney Bridge Road, East Putney","Chesilton Road, Fulham",3
"The Vale, Chelsea","Concert Hall Approach 1, South Bank",3
"Endsleigh Gardens, Euston","Smith Square, Westminster",3
"Chepstow Villas, Notting Hill","Farm Street, Mayfair",3
"Ford Road, Old Ford","Clinton Road, Mile End",3
"Cheshire Street, Bethnal Green","Barbican Centre, Barbican",3
"Chrisp Street Market, Poplar","Queen Street 2, Bank",3
"Warwick Avenue Station, Maida Vale","Howland Street, Fitzrovia",3
"Poured Lines, Bankside","Great Tower Street, Monument",3
"Borough High Street, The Borough","Great Dover Street, The Borough",3
"Poured Lines, Bankside","Hop Exchange, The Borough",3
"Ford Road, Old Ford","Bow Church Station, Bow",3
"Putney Bridge Road, East Putney","Crabtree Lane, Fulham",3
"Cheshire Street, Bethnal Green","Fore Street Avenue, Guildhall",3
"Princedale Road , Holland Park","Park Lane , Hyde Park",3
"Warren Street Station, Euston","Bayley Street , Bloomsbury",3
"Borough Road, Elephant & Castle","Howland Street, Fitzrovia",3
"Queen Mother Sports Centre, Victoria","Queen Victoria Street, St. Paul's",3
"Battersea Church Road, Battersea","Battersea Church Road, Battersea",3
"Chicheley Street, South Bank","Chicheley Street, South Bank",3
"Chicheley Street, South Bank","Butler Place, Westminster",3
"Hewison Street, Old Ford","St. Mary Axe, Aldgate",3
"Portland Place, Marylebone","King Edward Street, St Pauls",3
"Chicheley Street, South Bank","Montpelier Street, Knightsbridge",3
"The Vale, Chelsea","Chelsea Green, Chelsea",3
"Queen Mother Sports Centre, Victoria","Queen Street 2, Bank",3
"Pritchard's Road, Bethnal Green","Lower Thames Street, Monument",3
"Bank of England Museum, Bank","Sea Containers, South Bank",3
"Portland Place, Marylebone","Panton Street, West End",3
"Clapham Common North Side, Clapham Common","Kingsway Southbound, Strand",3
"Battersea Church Road, Battersea","Cadogan Place, Knightsbridge",3
"Wapping Lane, Wapping","Bow Church Station, Bow",3
"Erin Close, Walham Green","Bishop's Avenue, Fulham",3
"Bonny Street, Camden Town","Pancras Road, King's Cross",3
"Bank of England Museum, Bank","Shoreditch High Street, Shoreditch",3
"Hibbert Street, Battersea","Bourne Street, Belgravia",3
"Cheshire Street, Bethnal Green","Sun Street, Liverpool Street",3
"Portland Place, Marylebone","Harrowby Street, Marylebone",3
"Barons Court Station, West Kensington","BBC White City, White City",3
"Endsleigh Gardens, Euston","Horseferry Road, Westminster",3
"Endsleigh Gardens, Euston","Bath Street, St. Luke's",3
"Queen Mother Sports Centre, Victoria","Stanley Grove, Battersea",3
"High Holborn , Covent Garden","Godliman Street, St. Paul's",3
"Barons Court Station, West Kensington","Cadogan Close, Victoria Park",3
"Cheshire Street, Bethnal Green","Shoreditch High Street, Shoreditch",3
"Queen Mother Sports Centre, Victoria","St. George's Square, Pimlico",3
"Chicheley Street, South Bank","Fournier Street, Whitechapel",3
"Hibbert Street, Battersea","Battersea Park Road, Nine Elms",3
"Gloucester Terrace, Bayswater","Wellington Arch, Hyde Park",3
"St Mary's Hospital, Paddington","Kingsway Southbound, Strand",3
"Queen Mother Sports Centre, Victoria","Wormwood Street, Liverpool Street",3
"Borough High Street, The Borough","Borough High Street, The Borough",3
"St Mary's Hospital, Paddington","Hyde Park Corner, Hyde Park",3
"Hibbert Street, Battersea","Westfield Ariel Way, White City",3
"Hewison Street, Old Ford","Sun Street, Liverpool Street",3
"Portland Place, Marylebone","Fire Brigade Pier, Vauxhall",3
"Golden Lane, Barbican","Allington Street, Victoria",3
"Finsbury Leisure Centre, St. Luke's","Holborn Circus, Holborn",3
"Pritchard's Road, Bethnal Green","Finsbury Square , Moorgate",3
"Grove End Road, St. John's Wood","Old Quebec Street, Marylebone",3
"Borough Road, Elephant & Castle","Charles II Street, West End",3
"Hinde Street, Marylebone","Sackville Street, Mayfair",3
"Portland Place, Marylebone","Waterloo Place, St. James's",3
"Endsleigh Gardens, Euston","Allington Street, Victoria",3
"Endsleigh Gardens, Euston","Kingsway Southbound, Strand",3
"Pritchard's Road, Bethnal Green","Pott Street, Bethnal Green",3
"Warwick Road, Olympia","Prince Consort Road, Knightsbridge",3
"Queen Mother Sports Centre, Victoria","Great Tower Street, Monument",3
"Chicheley Street, South Bank","New Road 1 , Whitechapel",3
"Chicheley Street, South Bank","Belgrave Square, Belgravia",3
"Grosvenor Square, Mayfair","Queensdale Road, Shepherd's Bush",3
"Queen Street 1, Bank","Stonecutter Street, Holborn",3
"Portland Place, Marylebone","Tavistock Place, Bloomsbury",3
"Warren Street Station, Euston","Wells Street, Fitzrovia",3
"Porchester Place, Paddington","Soho Square , Soho",3
"Ford Road, Old Ford","Mile End Park Leisure Centre, Mile End",3
"Bank of England Museum, Bank","New Fetter Lane, Holborn",3
"Hibbert Street, Battersea","Vauxhall Cross, Vauxhall",3
"Queen Mother Sports Centre, Victoria","Hampstead Road, Euston",3
"Warren Street Station, Euston","Store Street, Bloomsbury",3
"Queen Mother Sports Centre, Victoria","Horseferry Road, Westminster",3
"Green Park Station, Mayfair","Seville Street, Knightsbridge",2
"George Row, Bermondsey","Blackfriars Road, Southwark",2
"George Row, Bermondsey","Snowsfields, London Bridge",2
"Haggerston Road, Haggerston","Christopher Street, Liverpool Street",2
"Howick Place, Westminster","Howland Street, Fitzrovia",2
"Ilchester Gardens, Bayswater","Moorfields, Moorgate",2
"Grosvenor Road, Pimlico","Barbican Centre, Barbican",2
"Jewry Street, Aldgate","Albert Embankment, Vauxhall",2
"Houndsditch, Aldgate","Roscoe Street, St. Luke's",2
"Kennington Oval, Oval","Northumberland Avenue, Strand",2
"Hampton Street, Walworth","Horseferry Road, Westminster",2
"Islington Green, Angel","Twig Folly Bridge, Mile End",2
"Kennington Oval, Oval","Rochester Row, Westminster",2
"Hoxton Station, Hoxton","Eagle Wharf Road, Hoxton",2
"Hertford Road, De Beauvoir Town","Berry Street, Clerkenwell",2
"Great Russell Street, Bloomsbury","Great Percy Street, Clerkenwell",2
"Hansard Mews, Holland Park","St Mary's Hospital, Paddington",2
"Kennington Oval, Oval","Seville Street, Knightsbridge",2
"Golden Lane, Barbican","Central House, Aldgate",2
"Gas Holders, Battersea Park","Waterloo Place, St. James's",2
"Hampton Street, Walworth","Queen Victoria Street, St. Paul's",2
"Kennington Lane Rail Bridge, Vauxhall","Wandsworth Rd, Isley Court, Wandsworth Road",2
"Hansard Mews, Holland Park","Queen's Gate (North), Kensington",2
"Howick Place, Westminster","Crawford Street, Marylebone",2
"Grant Road East, Clapham Junction","Austin Road, Battersea Park",2
"Greenland Road, Camden Town","Finsbury Square , Moorgate",2
"Ilchester Gardens, Bayswater","Hyde Park Corner, Hyde Park",2
"Goldsmith's Row, Haggerston","Hoxton Station, Hoxton",2
"Hoxton Station, Hoxton","Bunhill Row, Moorgate",2
"Hampton Street, Walworth","Kings Gate House, Westminster",2
"Hoxton Station, Hoxton","Bell Lane, Liverpool Street",2
"Hampton Street, Walworth","Holborn Circus, Holborn",2
"High Holborn , Covent Garden","Charles II Street, West End",2
"Hoxton Station, Hoxton","Aldersgate Street, Barbican",2
"Islington Green, Angel","William IV Street, Strand",2
"Ilchester Gardens, Bayswater","Great Russell Street, Bloomsbury",2
"Green Street, Mayfair","Aberdeen Place, St. John's Wood",2
"Guildhouse Street, Victoria","Warwick Square, Pimlico",2
"Howick Place, Westminster","Bayley Street , Bloomsbury",2
"George Row, Bermondsey","Braham Street, Aldgate",2
"Kennington Oval, Oval","Queen's Circus, Battersea Park",2
"Hampton Street, Walworth","Queen Street 1, Bank",2
"Gloucester Road Station, South Kensington","De Vere Gardens, Kensington",2
"Hansard Mews, Holland Park","Exhibition Road, Knightsbridge",2
"Gas Holders, Battersea Park","Stonecutter Street, Holborn",2
"Handyside Street, King's Cross","Malet Street, Bloomsbury",2
"Greyhound Road, Hammersmith","Argyll Road, Kensington",2
"Howick Place, Westminster","The Vale, Chelsea",2
"Howland Street, Fitzrovia","Bath Street, St. Luke's",2
"Great Russell Street, Bloomsbury","Queen Street 2, Bank",2
"Jewry Street, Aldgate","Hoxton Street, Hoxton",2
"Gloucester Avenue, Camden Town","Marylebone Lane, Marylebone",2
"Handyside Street, King's Cross","Sardinia Street, Holborn",2
"Golden Lane, Barbican","Braham Street, Aldgate",2
"Gas Holders, Battersea Park","Warren Street Station, Euston",2
"Gloucester Road Station, South Kensington","Eastbourne Mews, Paddington",2
"Gloucester Road Station, South Kensington","Hereford Road, Bayswater",2
"Hoxton Station, Hoxton","Goldsmith's Row, Haggerston",2
"Handyside Street, King's Cross","Warwick Row, Westminster",2
"Goldsmith's Row, Haggerston","Little Argyll Street, West End",2
"Hibbert Street, Battersea","Wandsworth Town Station, Wandsworth",2
"Hibbert Street, Battersea","Westbridge Road, Battersea",2
"Great Russell Street, Bloomsbury","Wardour Street, Soho",2
"Handyside Street, King's Cross","Fore Street Avenue, Guildhall",2
"Handyside Street, King's Cross","Great Titchfield Street, Fitzrovia",2
"Haggerston Road, Haggerston","Brushfield Street, Liverpool Street",2
"Gloucester Road Station, South Kensington","Falcon Road, Clapham Junction",2
"Kennington Oval, Oval","George Row, Bermondsey",2
"Kennington Oval, Oval","Harriet Street, Knightsbridge",2
"Goldsmith's Row, Haggerston","Norton Folgate, Liverpool Street",2
"Handyside Street, King's Cross","Newgate Street , St. Paul's",2
"Granby Street, Shoreditch","Jubilee Plaza, Canary Wharf",2
"Haggerston Road, Haggerston","Bank of England Museum, Bank",2
"Abbey Orchard Street, Westminster","Cleaver Street, Kennington",2
"George Place Mews, Marylebone","Warwick Row, Westminster",2
"Great Tower Street, Monument","Buckingham Gate, Westminster",2
"Granby Street, Shoreditch","Hatton Wall, Holborn",2
"Gloucester Avenue, Camden Town","Scala Street, Fitzrovia",2
"Ilchester Gardens, Bayswater","Park Lane, Mayfair",2
"Handyside Street, King's Cross","Lincoln's Inn Fields, Holborn",2
"Handyside Street, King's Cross","Kingsway Southbound, Strand",2
"Howland Street, Fitzrovia","Barbican Centre, Barbican",2
"Howland Street, Fitzrovia","Bury Place, Holborn",2
"Hermitage Court, Wapping","Tooley Street, Bermondsey",2
"Howland Street, Fitzrovia","Tanner Street, Bermondsey",2
"Guildhouse Street, Victoria","Regency Street, Westminster",2
"Hampton Street, Walworth","Swan Street, The Borough",2
"Green Street, Mayfair","Kensington Gore, Knightsbridge",2
"Gas Holders, Battersea Park","Union Grove, Wandsworth Road",2
"Greycoat Street , Westminster","Little Argyll Street, West End",2
"Jewry Street, Aldgate","Brunswick Square, Bloomsbury",2
"Howick Place, Westminster","Lollard Street, Vauxhall",2
"Hermitage Court, Wapping","Queen Victoria Street, St. Paul's",2
"Hermitage Court, Wapping","Stanhope Gate, Mayfair",2
"Guildhouse Street, Victoria","Hyde Park Corner, Hyde Park",2
"Gloucester Avenue, Camden Town","Little Argyll Street, West End",2
"Gloucester Road Station, South Kensington","Horseferry Road, Westminster",2
"Great Titchfield Street, Fitzrovia","Moorfields, Moorgate",2
"Hertford Road, De Beauvoir Town","Abbey Orchard Street, Westminster",2
"Hampton Street, Walworth","St. John Street, Finsbury",2
"Granby Street, Shoreditch","Tower Gardens , Tower",2
"Jewry Street, Aldgate","Crosswall, Tower",2
"Great Tower Street, Monument","Bury Place, Holborn",2
"Goldsmith's Row, Haggerston","Leonard Circus , Shoreditch",2
"Howick Place, Westminster","Sedding Street, Sloane Square",2
"Kennington Oval, Oval","Kennington Oval, Oval",2
"Hampton Street, Walworth","Westminster Pier, Westminster",2
"Howland Street, Fitzrovia","Clerkenwell Green, Clerkenwell",2
"Jewry Street, Aldgate","Hatton Garden, Holborn",2
"Golden Lane, Barbican","Bouverie Street, Temple",2
"Howland Street, Fitzrovia","George Street, Marylebone",2
"Kennington Oval, Oval","Kennington Road Post Office, Oval",2
"Jewry Street, Aldgate","Guilford Street , Bloomsbury",2
"Hermitage Court, Wapping","Westferry DLR, Limehouse",2
"Jewry Street, Aldgate","Godliman Street, St. Paul's",2
"Hermitage Court, Wapping","St. Katharine's Way, Tower",2
"Gwendwr Road, West Kensington","Westfield Ariel Way, White City",2
"Jewry Street, Aldgate","Dock Street, Wapping",2
"Granby Street, Shoreditch","Fournier Street, Whitechapel",2
"Granby Street, Shoreditch","Old Street Station, St. Luke's",2
"Howland Street, Fitzrovia","Little Argyll Street, West End",2
"Gaywood  Street, Elephant & Castle","Cheapside, Bank",2
"Green Park Station, Mayfair","Rochester Row, Westminster",2
"Hertford Road, De Beauvoir Town","Torrens Street, Angel",2
"Hewison Street, Old Ford","Brunswick Square, Bloomsbury",2
"Kennington Road Post Office, Oval","Kennington Road Post Office, Oval",2
"Gloucester Road (North), Kensington","Holy Trinity Brompton, Knightsbridge",2
"Hyde Park Corner, Hyde Park","Green Park Station, Mayfair",2
"Halford Road, West Kensington","South Kensington Station, South Kensington",2
"Hewison Street, Old Ford","Crosswall, Tower",2
"Kennington Road Post Office, Oval","Milroy Walk, South Bank",2
"George Row, Bermondsey","Farringdon Street, Holborn",2
"Greyhound Road, Hammersmith","Phillimore Gardens, Kensington",2
"Greyhound Road, Hammersmith","Coomer Place, West Kensington",2
"Hyde Park Corner, Hyde Park","Eastbourne Mews, Paddington",2
"Golden Square, Soho","Green Park Station, Mayfair",2
"Gloucester Road (North), Kensington","Hinde Street, Marylebone",2
"Greenland Road, Camden Town","Moorfields, Moorgate",2
"Halford Road, West Kensington","Pont Street, Knightsbridge",2
"Kennington Road Post Office, Oval","Monument Street, Monument",2
"Great Tower Street, Monument","Waterloo Station 1, Waterloo",2
"Great Russell Street, Bloomsbury","Bell Street , Marylebone",2
"Gloucester Road (North), Kensington","Gloucester Road (North), Kensington",2
"Golden Lane, Barbican","West Smithfield Rotunda, Farringdon",2
"Halford Road, West Kensington","Normand Park, West Kensington",2
"Humbolt Road, Fulham","Drayton Gardens, West Chelsea",2
"Greyhound Road, Hammersmith","Putney Pier, Wandsworth",2
"Kennington Road Post Office, Oval","Kennington Lane Rail Bridge, Vauxhall",2
"Greenland Road, Camden Town","Southwark Station 2, Southwark",2
"Humbolt Road, Fulham","Chelsea Bridge, Pimlico",2
"Kennington Road Post Office, Oval","Bouverie Street, Temple",2
"Humbolt Road, Fulham","Danvers Street, West Chelsea",2
"Hammersmith Road, Hammersmith","Kensington Town Hall, Kensington",2
"Haggerston Road, Haggerston","Malet Street, Bloomsbury",2
"Kennington Road Post Office, Oval","Dock Street, Wapping",2
"Grant Road East, Clapham Junction","Wandsworth Town Station, Wandsworth",2
"Grove End Road, St. John's Wood","Marylebone Lane, Marylebone",2
"George Row, Bermondsey","Pall Mall East, West End",2
"Great Dover Street, The Borough","Bank of England Museum, Bank",2
"Kennington Road Post Office, Oval","Howland Street, Fitzrovia",2
"Hammersmith Road, Hammersmith","Bridge Avenue, Hammersmith",2
"Gloucester Road (Central), South Kensington","Imperial College, Knightsbridge",2
"Great Dover Street, The Borough","Bankside Mix, Bankside",2
"Kennington Road Post Office, Oval","Foley Street, Fitzrovia",2
"Hewison Street, Old Ford","Antill Road, Mile End",2
"Halford Road, West Kensington","Tower Gardens , Tower",2
"Halford Road, West Kensington","Temple Gardens, Temple",2
"Gloucester Road (North), Kensington","Norton Folgate, Liverpool Street",2
"Halford Road, West Kensington","St. James's Square, St. James's",2
"George Row, Bermondsey","Moorfields, Moorgate",2
"Kennington Road Post Office, Oval","Page Street, Westminster",2
"Kennington Road Post Office, Oval","Queen Street 1, Bank",2
"Great Tower Street, Monument","Upper Bank Street, Canary Wharf",2
"Halford Road, West Kensington","Black Lion Gate, Kensington Gardens",2
"Kennington Road Post Office, Oval","Wormwood Street, Liverpool Street",2
"Gas Holders, Battersea Park","Little Argyll Street, West End",2
"Gas Holders, Battersea Park","Lambeth Palace Road, Waterloo",2
"Humbolt Road, Fulham","Old Brompton Road, South Kensington",2
"Kennington Station, Kennington","Berry Street, Clerkenwell",2
"Halford Road, West Kensington","Bishop's Avenue, Fulham",2
"Islington Green, Angel","Golden Square, Soho",2
"Great Dover Street, The Borough","Great Suffolk Street, The Borough",2
"Humbolt Road, Fulham","Rainville Road, Hammersmith",2
"Golden Lane, Barbican","Sea Containers, South Bank",2
"Gas Holders, Battersea Park","Lambeth North Station, Waterloo",2
"George Row, Bermondsey","Green Park Station, Mayfair",2
"Hewison Street, Old Ford","Queen Mary's, Mile End",2
"Hewison Street, Old Ford","Sadlers Sports Centre, Finsbury",2
"Gloucester Road (North), Kensington","Derry Street, Kensington",2
"Haggerston Road, Haggerston","Somerset House, Strand",2
"Islington Green, Angel","Goswell Road (City Uni), Finsbury",2
"Kennington Station, Kennington","Christopher Street, Liverpool Street",2
"Islington Green, Angel","Good's Way, King's Cross",2
"Great Dover Street, The Borough","Finsbury Square , Moorgate",2
"Halford Road, West Kensington","Cheapside, Bank",2
"Humbolt Road, Fulham","Elysium Place, Fulham",2
"Humbolt Road, Fulham","Gloucester Road (Central), South Kensington",2
"Humbolt Road, Fulham","Exhibition Road Museums 1, South Kensington",2
"Hurlingham Park, Parsons Green","Serpentine Car Park, Hyde Park",2
"Grove End Road, St. John's Wood","Snow Hill, Farringdon",2
