index,finance,leisure,residence,restaurant,shopping,university
"Breams Buildings, Holborn",0.00001,3,1,6,2,0.00001
"Brick Lane Market, Shoreditch",2,9,1,0.00001,6,0.00001
"Bricklayers Arms, Borough",0.00001,1,0.00001,0.00001,2,0.00001
"Bridge Avenue, Hammersmith",3,0.00001,0.00001,5,11,0.00001
"British Museum, Bloomsbury",0.00001,5,20,6,5,0.00001
"Broadcasting House, Marylebone",0.00001,6,16,3,6,0.00001
"Broadley Terrace, Marylebone",0.00001,0.00001,1,1,3,0.00001
"Broadwick Street, Soho",1,7,13,24,23,0.00001
"Bromley High Street, Bow",0.00001,6,0.00001,0.00001,0.00001,0.00001
"Brook Green South, Brook Green",0.00001,6,1,3,4,0.00001
"Brunswick Square, Bloomsbury",2,2,1,3,3,0.00001
"Brushfield Street, Liverpool Street",6,10,1,15,3,1
"Bruton Street, Mayfair",1,4,9,7,37,0.00001
"Buckingham Gate, Westminster",0.00001,5,0.00001,8,7,0.00001
"Bunhill Row, Moorgate",0.00001,2,1,0.00001,1,0.00001
"Burdett Road, Mile End",1,1,0.00001,0.00001,0.00001,0.00001
"Burgess Park Albany Road, Walworth",0.00001,7,0.00001,7,11,0.00001
"Bury Place, Holborn",4,2,1,5,3,1
"Butler Place, Westminster",0.00001,3,0.00001,1,1,0.00001
"Buxton Street 1, Shoreditch",0.00001,2,0.00001,0.00001,2,0.00001
"Cadogan Close, Victoria Park",0.00001,4,1,0.00001,0.00001,0.00001
"Cadogan Gardens, Chelsea",3,8,3,10,48,0.00001
"Cadogan Place, Knightsbridge",0.00001,0.00001,3,1,5,0.00001
"Caldwell Street, Stockwell",0.00001,0.00001,0.00001,0.00001,4,0.00001
"Calshot Street , King's Cross",0.00001,5,3,5,5,0.00001
"Campden Hill Road, Notting Hill",0.00001,0.00001,7,2,2,0.00001
"Canada Water Station, Rotherhithe",0.00001,1,0.00001,1,0.00001,0.00001
"Canton Street, Poplar",1,0.00001,0.00001,1,2,0.00001
"Carey Street, Holborn",2,2,0.00001,1,1,0.00001
"Carnegie Street, King's Cross",0.00001,11,0.00001,0.00001,5,0.00001
"Cartwright Gardens , Bloomsbury",0.00001,1,11,4,5,0.00001
"Castlehaven Road, Camden Town",1,9,1,1,5,0.00001
"Central House, Aldgate",1,7,1,8,9,1
"Cephas Street, Bethnal Green",1,0.00001,0.00001,1,2,0.00001
"Chadwell Street, Angel",1,8,1,5,3,0.00001
"Chapel Place, Marylebone",2,7,9,7,44,0.00001
"Charing Cross Hospital, Hammersmith",0.00001,0.00001,2,1,0.00001,0.00001
"Charlbert Street, St. John's Wood",1,5,0.00001,3,17,0.00001
"Charles II Street, West End",3,15,4,32,13,1
"Charlotte Street, Fitzrovia",2,13,3,16,4,0.00001
"Charlotte Terrace, Angel",0.00001,2,0.00001,0.00001,3,0.00001
"Cheapside, Bank",8,5,6,18,7,0.00001
"Chelsea Bridge, Pimlico",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Chelsea Green, Chelsea",1,2,1,6,18,0.00001
"Chepstow Villas, Notting Hill",0.00001,3,2,1,9,0.00001
"Cheshire Street, Bethnal Green",0.00001,0.00001,0.00001,0.00001,2,0.00001
