index,finance,leisure,residence,restaurant,shopping,university
"Lollard Street, Vauxhall",0.00001,3,0.00001,0.00001,1,0.00001
"London Fields, Hackney Central",0.00001,1,0.00001,2,3,0.00001
"London Street, Paddington",2,4,7,4,14,0.00001
"London Zoo Car Park, The Regent's Park",0.00001,2,2,0.00001,0.00001,0.00001
"London Zoo,  The Regent's Park",0.00001,8,0.00001,0.00001,1,0.00001
"Long Lane , Bermondsey",1,0.00001,0.00001,1,5,0.00001
"Longford Street, The Regent's Park",0.00001,4,2,0.00001,0.00001,0.00001
"Lord's, St. John's Wood",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Lots Road, West Chelsea",0.00001,1,0.00001,1,1,0.00001
"Lower Thames Street, Monument",1,1,3,0.00001,2,0.00001
"LSBU (Borough Road), Elephant & Castle",0.00001,3,1,2,1,0.00001
"Macclesfield Rd, St Lukes",0.00001,2,0.00001,0.00001,1,0.00001
"Maida Vale, Maida Vale",2,2,0.00001,1,4,0.00001
"Malet Street, Bloomsbury",1,3,7,0.00001,1,3
"Mallory Street, Marylebone",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Manbre Road, Hammersmith",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Manresa Road, Chelsea",0.00001,1,8,7,10,1
"Maplin Street, Mile End",0.00001,1,0.00001,0.00001,3,0.00001
"Marylebone Lane, Marylebone",1,2,0.00001,1,14,0.00001
"Merchant Street, Bow",1,0.00001,2,0.00001,1,0.00001
"Mexfield Road, East Putney",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Michael Road, Walham Green",1,0.00001,0.00001,2,0.00001,0.00001
"Mile End Park Leisure Centre, Mile End",2,7,0.00001,0.00001,2,0.00001
"Mile End Stadium, Mile End",0.00001,4,1,0.00001,0.00001,0.00001
"Millbank Tower, Pimlico",0.00001,1,0.00001,1,0.00001,0.00001
"Millennium Hotel, Mayfair",0.00001,2,1,3,5,0.00001
"Millharbour, Millwall",0.00001,1,0.00001,1,0.00001,0.00001
"Milroy Walk, South Bank",2,3,0.00001,2,3,0.00001
"Monier Road, Hackney Wick",0.00001,7,0.00001,2,6,0.00001
"Montpelier Street, Knightsbridge",5,7,2,15,43,0.00001
"Monument Street, Monument",0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Moor Street, Soho",0.00001,2,1,4,6,0.00001
"Moorfields, Moorgate",3,0.00001,0.00001,0.00001,1,0.00001
"Morie Street, Wandsworth",1,2,0.00001,0.00001,4,0.00001
"Mostyn Grove, Bow",0.00001,1,0.00001,0.00001,1,0.00001
"Mudchute DLR, Cubitt Town",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Murray Grove , Hoxton",0.00001,3,0.00001,1,7,0.00001
"Museum of London, Barbican",0.00001,2,4,1,2,0.00001
"Napier Avenue, Millwall",0.00001,2,0.00001,1,0.00001,0.00001
"Natural History Museum, South Kensington",0.00001,2,2,1,3,0.00001
"Naval Row, Blackwall",2,4,0.00001,1,4,0.00001
"Nesham Street, Wapping",0.00001,2,0.00001,1,0.00001,0.00001
"Nevern Place, Earl's Court",1,7,0.00001,15,18,0.00001
"Neville Gill Close, Wandsworth",4,9,1,8,24,0.00001
"New Cavendish Street, Marylebone",0.00001,2,13,2,4,0.00001
"New Fetter Lane, Holborn",0.00001,1,0.00001,0.00001,4,0.00001
"New Globe Walk, Bankside",0.00001,6,1,3,1,1
"New Kent Road, The Borough",1,4,0.00001,2,4,0.00001
"New North Road 2, Hoxton",0.00001,1,0.00001,0.00001,1,0.00001
"New Road 1 , Whitechapel",2,4,0.00001,5,9,0.00001
"Newby Place, Poplar",0.00001,1,0.00001,1,2,0.00001
"Newgate Street , St. Paul's",0.00001,2,1,0.00001,0.00001,0.00001
"Newton Street, Covent Garden",0.00001,0.00001,1,1,0.00001,0.00001
"Normand Park, West Kensington",0.00001,2,0.00001,1,0.00001,0.00001
"Normandy Road, Stockwell",0.00001,1,1,0.00001,0.00001,0.00001
"North Audley Street, Mayfair",0.00001,0.00001,1,2,5,0.00001
"North Wharf Road, Paddington",0.00001,4,0.00001,4,1,0.00001
"Northdown Street, King's Cross",0.00001,3,0.00001,5,1,0.00001
"Northfields, Wandsworth",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Northington Street , Holborn",3,2,3,6,3,1
"Northumberland Avenue, Strand",2,5,9,1,5,0.00001
"Norton Folgate, Liverpool Street",3,2,0.00001,3,2,0.00001
"Notting Hill Gate Station, Notting Hill",2,7,3,11,30,0.00001
"Nutford Place, Marylebone",1,2,2,4,1,0.00001
"Old Brompton Road, South Kensington",0.00001,2,2,5,2,0.00001
"Old Ford Road, Bethnal Green",0.00001,1,1,1,1,0.00001
"Old Montague Street, Whitechapel",3,2,1,3,2,0.00001
"Old Quebec Street, Marylebone",1,3,4,13,8,0.00001
"Old Street Station, St. Luke's",2,0.00001,2,2,1,0.00001
"Ontario Street, Elephant & Castle",2,0.00001,0.00001,1,1,0.00001
"Ormonde Gate, Chelsea",0.00001,2,2,0.00001,1,0.00001
"Orsett Terrace, Bayswater",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Osiers Road, Wandsworth",1,0.00001,0.00001,0.00001,1,0.00001
"Ossulston Street, Somers Town",1,8,1,2,1,0.00001
"Oxford Road, Putney",0.00001,1,0.00001,0.00001,2,0.00001
"Paddington Green, Paddington",0.00001,2,1,1,0.00001,0.00001
"Paddington Street, Marylebone",0.00001,1,1,2,3,0.00001
"Page Street, Westminster",0.00001,1,0.00001,1,1,0.00001
"Palace Gardens Terrace, Notting Hill",0.00001,2,3,4,6,0.00001
"Palissy Street, Shoreditch",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Pall Mall East, West End",0.00001,6,5,0.00001,0.00001,0.00001
"Pancras Road, King's Cross",0.00001,2,3,0.00001,1,0.00001
"Panton Street, West End",0.00001,14,4,31,8,0.00001
"Park Lane , Hyde Park",0.00001,0.00001,2,1,0.00001,0.00001
"Park Lane, Mayfair",3,3,5,5,2,0.00001
"Park Road (Baker Street), The Regent's Park",1,5,4,4,4,1
"Park Street, Bankside",0.00001,2,4,4,2,0.00001
"Parkway, Camden Town",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Parson's Green , Parson's Green",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Parsons Green Station, Parsons Green",3,0.00001,0.00001,1,7,0.00001
"Pembridge Villas, Notting Hill",0.00001,1,1,0.00001,2,0.00001
"Penfold Street, Marylebone",1,7,0.00001,0.00001,11,0.00001
"Pennington Street, Wapping",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Penywern Road, Earl's Court",1,0.00001,1,1,1,0.00001
"Percival Street, Finsbury",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Phene Street, Chelsea",0.00001,5,8,1,2,0.00001
"Phillimore Gardens, Kensington",0.00001,3,1,3,4,0.00001
"Philpot Street, Whitechapel",5,3,0.00001,0.00001,2,0.00001
"Pindar Street, Liverpool Street",0.00001,3,0.00001,1,0.00001,0.00001
"Pitfield Street Central, Hoxton",1,1,0.00001,0.00001,3,0.00001
"Pitfield Street North,Hoxton",0.00001,2,0.00001,0.00001,5,0.00001
"Plough Terrace, Clapham Junction",1,2,1,1,2,0.00001
"Podium, Queen Elizabeth Olympic Park",1,7,0.00001,0.00001,0.00001,0.00001
"Pont Street, Knightsbridge",0.00001,1,6,2,2,0.00001
"Porchester Place, Paddington",0.00001,3,4,5,12,0.00001
"Portland Place, Marylebone",0.00001,1,5,0.00001,0.00001,0.00001
"Portman Square, Marylebone",2,1,0.00001,1,1,0.00001
"Pott Street, Bethnal Green",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Poured Lines, Bankside",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Preston's Road, Cubitt Town",1,1,0.00001,0.00001,3,0.00001
"Prince Albert Road, The Regent's Park",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Prince Consort Road, Knightsbridge",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Prince of Wales Drive, Battersea Park",0.00001,0.00001,1,2,2,0.00001
"Princedale Road , Holland Park",0.00001,1,1,1,4,0.00001
"Princes Square, Bayswater",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Pritchard's Road, Bethnal Green",1,0.00001,0.00001,0.00001,2,0.00001
"Putney Bridge Station, Fulham",2,11,0.00001,1,5,0.00001
"Putney Pier, Wandsworth",0.00001,3,1,0.00001,0.00001,0.00001
"Queen Mary's, Mile End",0.00001,1,0.00001,0.00001,0.00001,1
"Queen Mother Sports Centre, Victoria",0.00001,1,2,2,0.00001,0.00001
"Queen Street 1, Bank",0.00001,6,8,7,2,0.00001
"Queen Street 2, Bank",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Queen Victoria Street, St. Paul's",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Queen's Circus, Battersea Park",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Queen's Gate (Central), South Kensington",0.00001,7,1,12,11,0.00001
"Queen's Gate (North), Kensington",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Queen's Gate (South), South Kensington",0.00001,1,2,2,2,0.00001
"Queensdale Road, Shepherd's Bush",0.00001,1,1,2,7,0.00001
"Queensway, Kensington Gardens",0.00001,0.00001,0.00001,5,2,0.00001
"Ram Street, Wandsworth",3,1,0.00001,2,5,0.00001
"Rampayne Street, Pimlico",0.00001,5,2,3,13,0.00001
"Ranelagh Gardens, Fulham",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Rathbone Street, Fitzrovia",0.00001,2,0.00001,5,4,0.00001
"Ravenscourt Park Station, Hammersmith",0.00001,3,1,9,3,0.00001
"Reardon Street, Wapping",3,3,1,1,3,0.00001
"Rectory Square, Stepney",0.00001,0.00001,2,0.00001,0.00001,0.00001
"Red Lion Square, Holborn",2,7,7,11,4,0.00001
"Red Lion Street, Holborn",2,1,2,2,4,0.00001
"Regent's Row , Haggerston",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Richmond Way, Shepherd's Bush",0.00001,1,0.00001,1,6,0.00001
"Rifle Place, Avondale",0.00001,1,0.00001,0.00001,2,0.00001
"Risinghill Street, Angel",0.00001,0.00001,0.00001,0.00001,1,0.00001
"River Street , Clerkenwell",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Riverlight North, Nine Elms",0.00001,1,0.00001,3,2,0.00001
"Riverlight South, Nine Elms",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Rodney Road , Walworth",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Roscoe Street, St. Luke's",0.00001,2,2,5,7,0.00001
"Rotherhithe Roundabout, Rotherhithe",0.00001,3,0.00001,0.00001,1,0.00001
"Royal Avenue 1, Chelsea",4,4,1,1,35,0.00001
"Royal College Street, Camden Town",0.00001,1,0.00001,0.00001,2,0.00001
"Russell Gardens, Olympia",0.00001,1,0.00001,2,1,0.00001
"Russell Square Station, Bloomsbury",0.00001,2,0.00001,0.00001,1,1
"Sackville Street, Mayfair",1,2,0.00001,6,32,0.00001
"Sail Street, Vauxhall",0.00001,1,1,0.00001,1,0.00001
"Salmon Lane, Limehouse",1,1,0.00001,0.00001,6,0.00001
"Saltoun Road, Brixton",0.00001,8,0.00001,3,5,0.00001
"Sancroft Street, Vauxhall",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Sandilands Road, Walham Green",1,3,0.00001,1,13,0.00001
"Saunders Ness Road, Cubitt Town",0.00001,1,1,0.00001,2,0.00001
"Scala Street, Fitzrovia",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Sea Containers, South Bank",0.00001,4,0.00001,0.00001,1,0.00001
"Sedding Street, Sloane Square",2,2,0.00001,2,3,0.00001
"Selby Street, Whitechapel",0.00001,2,1,0.00001,1,0.00001
"Serpentine Car Park, Hyde Park",0.00001,5,0.00001,0.00001,0.00001,0.00001
"Seville Street, Knightsbridge",0.00001,0.00001,0.00001,2,0.00001,0.00001
"Seymour Place, Marylebone",0.00001,5,1,4,13,0.00001
"Shadwell Station, Shadwell",2,6,1,0.00001,5,0.00001
"Sheepcote Lane, Battersea",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Shepherd's Bush Road North, Shepherd's Bush",0.00001,1,0.00001,4,3,0.00001
"Shoreditch Court, Haggerston",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Shoreditch High Street, Shoreditch",2,4,0.00001,8,8,0.00001
"Shoreditch Park, Hoxton",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Shouldham Street, Marylebone",0.00001,0.00001,2,0.00001,0.00001,0.00001
"Sidney Road, Stockwell",1,0.00001,1,0.00001,3,0.00001
"Silverthorne Road, Battersea",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Simpson Street, Clapham Junction",1,3,0.00001,5,12,0.00001
"Sirdar Road, Avondale",0.00001,1,0.00001,0.00001,1,0.00001
"Sloane Avenue, Knightsbridge",0.00001,3,1,4,35,0.00001
"Smith Square, Westminster",0.00001,0.00001,2,0.00001,1,0.00001
"Snow Hill, Farringdon",1,3,0.00001,0.00001,0.00001,0.00001
"Snowsfields, London Bridge",0.00001,1,0.00001,4,4,0.00001
"Soho Square , Soho",3,3,3,4,15,2
"Somerset House, Strand",0.00001,1,0.00001,0.00001,0.00001,1
"Sopwith Way, Battersea Park",0.00001,0.00001,0.00001,0.00001,1,0.00001
"South Audley Street, Mayfair",0.00001,1,8,2,3,0.00001
"South Bermondsey Station, Bermondsey",0.00001,2,0.00001,1,4,0.00001
"South Kensington Station, South Kensington",4,4,0.00001,9,7,0.00001
"South Lambeth Road, Vauxhall",0.00001,2,0.00001,3,1,0.00001
"South Parade, Chelsea",0.00001,1,2,1,6,0.00001
"South Park, Sands End",0.00001,2,0.00001,0.00001,0.00001,0.00001
"South Wharf Road, Paddington",1,0.00001,1,0.00001,3,0.00001
"Southern Grove, Bow",1,26,2,0.00001,0.00001,0.00001
"Southerton Road, Hammersmith",0.00001,2,0.00001,1,0.00001,0.00001
"Southwark Station 1, Southwark",2,2,0.00001,1,3,0.00001
"Southwark Station 2, Southwark",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Southwick Street, Paddington",0.00001,2,2,2,1,0.00001
"Spanish Road, Clapham Junction",0.00001,2,1,0.00001,1,0.00001
"Spencer Park, Wandsworth Common",0.00001,0.00001,1,0.00001,0.00001,0.00001
"St John's Crescent, Brixton",0.00001,1,0.00001,0.00001,0.00001,0.00001
"St Martins Close, Camden Town",0.00001,4,0.00001,0.00001,0.00001,0.00001
"St Mary's Hospital, Paddington",2,5,0.00001,4,6,0.00001
"St. Bride Street, Holborn",1,2,1,3,0.00001,0.00001
"St. George Street, Mayfair",0.00001,2,1,1,7,0.00001
"St. George's Square, Pimlico",1,2,4,4,7,0.00001
"St. James's Square, St. James's",0.00001,2,7,3,19,0.00001
"St. John's Park, Cubitt Town",1,1,0.00001,0.00001,1,0.00001
"St. John's Road, Clapham Junction",6,8,0.00001,0.00001,14,0.00001
"St. John's Wood Church, The Regent's Park",0.00001,3,1,1,4,0.00001
"St. John's Wood Road, St. John's Wood",0.00001,2,5,0.00001,0.00001,0.00001
"St. Katharine's Way, Tower",0.00001,5,0.00001,5,3,0.00001
"St. Luke's Church, Chelsea",0.00001,1,0.00001,1,2,0.00001
"St. Mark's Road, North Kensington",0.00001,0.00001,0.00001,0.00001,1,0.00001
"St. Martin's Street, West End",0.00001,0.00001,1,1,0.00001,0.00001
"St. Mary & St. Michael Church, Stepney",1,0.00001,0.00001,0.00001,0.00001,0.00001
"St. Mary Axe, Aldgate",2,10,3,1,2,1
"St. Peter's Terrace, Fulham",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Stainsby Road , Poplar",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Stamford Street, South Bank",0.00001,1,0.00001,3,0.00001,0.00001
"Stanhope Gate, Mayfair",0.00001,0.00001,1,2,0.00001,0.00001
"Stanley Grove, Battersea",0.00001,1,0.00001,1,1,0.00001
"Star Road, West Kensington",1,0.00001,0.00001,1,0.00001,0.00001
"Stebondale Street, Cubitt Town",0.00001,2,1,1,3,0.00001
"Stephendale Road, Sands End",1,1,0.00001,0.00001,7,0.00001
"Stepney Green Station, Stepney",2,1,0.00001,5,5,0.00001
"Stewart's Road, Wandsworth Road",0.00001,3,0.00001,0.00001,3,0.00001
"Stonecutter Street, Holborn",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Store Street, Bloomsbury",0.00001,0.00001,3,0.00001,0.00001,0.00001
"Storey's Gate, Westminster",0.00001,14,10,0.00001,1,0.00001
"Strata, Elephant & Castle",1,0.00001,1,7,1,0.00001
"Stratford Station, Stratford",4,5,0.00001,10,25,0.00001
"Sugden Road, Clapham",1,3,2,7,10,0.00001
"Sumner Place, South Kensington",0.00001,0.00001,6,3,6,0.00001
"Sun Street, Liverpool Street",1,5,0.00001,5,1,0.00001
"Surrey Lane, Battersea",1,0.00001,0.00001,0.00001,2,0.00001
"Sutton Street, Shadwell",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Tachbrook Street, Victoria",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Tallis Street, Temple",0.00001,1,0.00001,1,0.00001,0.00001
"Tanner Street, Bermondsey",0.00001,3,1,4,3,0.00001
"Tate Modern, Bankside",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Tavistock Place, Bloomsbury",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Tavistock Street, Covent Garden",0.00001,10,3,18,12,0.00001
"Taviton Street, Bloomsbury",0.00001,0.00001,4,0.00001,0.00001,3
"Temple Gardens, Temple",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Teviot Street, Poplar",0.00001,1,0.00001,0.00001,1,0.00001
"The Blue, Bermondsey",4,1,0.00001,1,2,0.00001
"The Guildhall, Guildhall",0.00001,2,2,1,0.00001,0.00001
"The Metropolitan, Portobello",0.00001,0.00001,1,0.00001,1,0.00001
"The Tennis Courts, The Regent's Park",0.00001,7,0.00001,0.00001,0.00001,0.00001
"The Vale, Chelsea",0.00001,6,8,10,25,0.00001
"Theobald's Road , Holborn",0.00001,2,1,1,10,1
"Thorndike Close, West Chelsea",0.00001,2,0.00001,0.00001,4,0.00001
"Timber Lodge, Queen Elizabeth Olympic Park",0.00001,9,0.00001,0.00001,0.00001,0.00001
"Tooley Street, Bermondsey",4,9,2,10,3,0.00001
"Torrens Street, Angel",2,1,0.00001,2,2,0.00001
"Tower Gardens , Tower",1,7,2,1,3,0.00001
"Tower Wharf, Bermondsey",0.00001,1,0.00001,0.00001,4,0.00001
"Trebovir Road, Earl's Court",0.00001,0.00001,2,0.00001,1,0.00001
"Triangle Car Park, Hyde Park",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Turquoise Island, Notting Hill",0.00001,2,1,2,56,0.00001
"Twig Folly Bridge, Mile End",0.00001,7,0.00001,1,0.00001,0.00001
"Tyers Gate, Bermondsey",0.00001,1,0.00001,4,0.00001,0.00001
"Tysoe Street, Clerkenwell",0.00001,0.00001,0.00001,4,2,0.00001
"Union Street, The Borough",0.00001,0.00001,1,1,0.00001,0.00001
"Upcerne Road, West Chelsea",0.00001,1,0.00001,0.00001,1,0.00001
"Upper Bank Street, Canary Wharf",0.00001,4,0.00001,1,1,0.00001
"Upper Richmond Road, Putney",0.00001,0.00001,0.00001,2,1,0.00001
"Usk Road, Clapham Junction",0.00001,1,0.00001,0.00001,2,0.00001
"Vauxhall Bridge , Pimlico",0.00001,7,1,0.00001,1,0.00001
"Vauxhall Cross, Vauxhall",0.00001,2,0.00001,2,3,0.00001
"Vauxhall Street, Vauxhall",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Vicarage Crescent, Battersea",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Vicarage Gate, Kensington",0.00001,1,5,0.00001,2,0.00001
"Victoria Park Road, Hackney Central",0.00001,2,1,0.00001,0.00001,0.00001
"Victoria Rise, Clapham Common",0.00001,6,2,0.00001,0.00001,0.00001
"Victory Place, Walworth",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Walmer Road, Avondale",0.00001,0.00001,2,1,4,0.00001
"Walnut Tree Walk, Vauxhall",0.00001,2,0.00001,1,3,0.00001
"Walworth Square, Walworth",2,0.00001,1,2,4,0.00001
"Wandsworth Rd, Isley Court, Wandsworth Road",0.00001,5,0.00001,0.00001,2,0.00001
"Wandsworth Town Station, Wandsworth",1,2,0.00001,0.00001,2,0.00001
"Wapping High Street, Wapping",0.00001,0.00001,1,1,0.00001,0.00001
"Wapping Lane, Wapping",0.00001,1,0.00001,0.00001,3,0.00001
"Wardour Street, Soho",0.00001,0.00001,2,9,4,0.00001
"Warren Street Station, Euston",4,3,6,4,3,0.00001
"Warwick Avenue Station, Maida Vale",0.00001,1,2,5,5,0.00001
"Warwick Road, Olympia",1,0.00001,2,3,5,0.00001
"Warwick Row, Westminster",0.00001,0.00001,1,2,5,0.00001
"Warwick Square, Pimlico",0.00001,0.00001,1,0.00001,3,0.00001
"Waterloo Place, St. James's",0.00001,2,4,0.00001,0.00001,0.00001
"Waterloo Road, South Bank",2,0.00001,0.00001,0.00001,0.00001,0.00001
"Waterloo Station 1, Waterloo",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Waterloo Station 3, Waterloo",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Watney Market, Stepney",2,2,0.00001,0.00001,12,0.00001
"Webber Street , Southwark",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Wellington Arch, Hyde Park",0.00001,1,3,1,2,0.00001
"Wellington Road, St. John's Wood",1,1,2,1,8,0.00001
"Wellington Row, Bethnal Green",0.00001,3,0.00001,2,12,0.00001
"Wells Street, Fitzrovia",2,3,1,10,17,0.00001
"Wendon Street, Old Ford",0.00001,8,0.00001,0.00001,2,0.00001
"West Kensington Station, West Kensington",0.00001,0.00001,0.00001,0.00001,2,0.00001
"West Smithfield Rotunda, Farringdon",1,2,5,0.00001,0.00001,0.00001
"Westbourne Grove, Bayswater",1,3,0.00001,7,12,0.00001
"Westbourne Park Road, Portobello",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Westbridge Road, Battersea",2,0.00001,0.00001,5,3,0.00001
"Westferry Circus, Canary Wharf",0.00001,3,0.00001,0.00001,1,0.00001
"Westferry DLR, Limehouse",0.00001,2,0.00001,1,0.00001,0.00001
"Westfield Ariel Way, White City",2,3,0.00001,5,27,0.00001
"Westfield Southern Terrace ,Shepherd's Bush",0.00001,1,0.00001,7,24,0.00001
"Westminster Bridge Road, Elephant & Castle",0.00001,0.00001,0.00001,1,3,0.00001
"Westminster Pier, Westminster",1,4,3,0.00001,2,0.00001
"Westminster University, Marylebone",2,2,1,0.00001,6,0.00001
"William IV Street, Strand",0.00001,5,6,7,5,0.00001
"Windsor Terrace, Hoxton",1,1,0.00001,1,5,0.00001
"Woodstock Grove, Shepherd's Bush",4,3,1,0.00001,12,0.00001
"Woodstock Street, Mayfair",0.00001,1,3,4,22,0.00001
"World's End Place, West Chelsea",0.00001,3,0.00001,2,7,0.00001
"Wormwood Street, Liverpool Street",9,3,1,3,1,0.00001
"Wren Street, Holborn",0.00001,1,7,0.00001,0.00001,0.00001
"Wright's Lane, Kensington",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Wynne Road, Stockwell",1,0.00001,0.00001,0.00001,6,0.00001
"York Hall, Bethnal Green",0.00001,1,0.00001,1,0.00001,1
"York Way, Kings Cross",1,0.00001,0.00001,1,1,0.00001
